fantrax_id,player_name,team,team_code,position,has_sofascore_match,sofascore_id,sofascore_name
061ya,Brennan Johnson,,,,True,1085180.0,Brennan Johnson
06kwp,Josh Acheampong,,,,True,1403050.0,Josh Acheampong
02lsa,Dan Burn,,,,True,99090.0,Dan Burn
05w9i,Marc Cucurella,,,,True,794939.0,Marc Cucurella
051k7,Reece James,,,,True,885908.0,Reece James
0558w,William Saliba,,,,True,941168.0,William Saliba
06v0g,Trai Hume,,,,True,989034.0,Trai Hume
05n07,Pedro Porro,,,,True,913654.0,Pedro Porro
06p4k,Matthijs de Ligt,,,,True,803031.0,Matthijs de Ligt
04e1e,Ben White,,,,True,846036.0,Ben White
05w7t,Pape Sarr,,,,False,,
03hff,Josh Cullen,,,,True,792122.0,Josh Cullen
0635j,Chris Richards,,,,True,931844.0,Chris Richards
04rh9,David Brooks,,,,True,855731.0,David Brooks
0427d,James Tarkowski,,,,True,145188.0,James Tarkowski
05nzu,Gabriel Magalhaes,,,,True,869792.0,Gabriel Magalhães
05s08,Valentino Livramento,,,,True,980634.0,Valentino Livramento
05akv,Tyrick Mitchell,,,,True,988275.0,Tyrick Mitchell
06mn0,Igor Thiago,,,,True,1016907.0,Igor Thiago
05o4b,Matty Cash,,,,True,833956.0,Matty Cash
0700t,Omar Alderete,,,,True,805137.0,Omar Alderete
0522h,Alexis Mac Allister,,,,True,895324.0,Alexis Mac Allister
05ye7,Oscar Bobb,,,,True,1065216.0,Oscar Bobb
03dx3,Kieran Trippier,,,,True,69256.0,Kieran Trippier
05gcr,Bruno Fernandes,,,,True,288205.0,Bruno Fernandes
05opj,Elliot Anderson,,,,True,994546.0,Elliot Anderson
05uoc,Cristian Romero,,,,True,829932.0,Cristian Romero
04mup,Trevoh Chalobah,,,,True,826134.0,Trevoh Chalobah
06v0s,Eliezer Mayenda,,,,True,1168588.0,Eliezer Mayenda
03yqz,Joe Rodon,,,,True,828640.0,Joe Rodon
04fk6,Bernardo Silva,,,,True,331209.0,Bernardo Silva
04abn,Harvey Barnes,,,,True,855647.0,Harvey Barnes
050jq,Marc Guehi,,,,True,877994.0,Marc Guéhi
0639x,Marcus Tavernier,,,,True,895576.0,Marcus Tavernier
06ezb,Micky van de Ven,,,,True,998247.0,Micky van de Ven
05mzz,Pascal Struijk,,,,True,836675.0,Pascal Struijk
06phw,Federico Chiesa,,,,True,845386.0,Federico Chiesa
03frx,Ola Aina,,,,True,800417.0,Ola Aina
04tm0,Lucas Digne,,,,True,96538.0,Lucas Digne
067yz,Matheus Cunha,,,,True,886363.0,Matheus Cunha
06v07,Rayan Cherki,,,,True,979128.0,Rayan Cherki
02yl5,John Stones,,,,True,152077.0,John Stones
06v0t,Wilson Isidor,,,,True,877980.0,Wilson Isidor
06cmm,Dominik Szoboszlai,,,,True,869856.0,Dominik Szoboszlai
06rm7,Nico González,,,,True,954056.0,Nico González
062ts,Djed Spence,,,,True,945798.0,Djed Spence
04lnu,Lukas Nmecha,,,,True,803185.0,Lukas Nmecha
0689w,Georginio Rutter,,,,True,946695.0,Georginio Rutter
06yb9,Reinildo Isnard Mandava,,,,False,,
05r9b,Martin Odegaard,,,,True,547410.0,Martin Ødegaard
06jgi,Daniel Munoz,,,,True,870360.0,Daniel Muñoz
06zna,Dan Ndoye,,,,True,944327.0,Dan Ndoye
05o8o,Jayden Bogle,,,,True,929132.0,Jayden Bogle
05omu,Ruben Dias,,,,True,318941.0,Rúben Dias
06ymu,El Hadji Malick Diouf,,,,True,1471764.0,El Hadji Malick Diouf
03rec,Tyrone Mings,,,,True,303638.0,Tyrone Mings
06fso,Wataru Endo,,,,True,143040.0,Wataru Endo
06mx0,Leny Yoro,,,,True,1153315.0,Leny Yoro
068yd,Joao Gomes,,,,True,1015267.0,João Gomes
056iy,Pedro Neto,,,,True,879349.0,Pedro Neto
0626q,Simon Adingra,,,,True,1110842.0,Simon Adingra
061vn,Rodrigo Muniz,,,,True,1015256.0,Rodrigo Muniz
06ybq,Chemsdine Talbi,,,,True,1142675.0,Chemsdine Talbi
04lav,Ethan Ampadu,,,,True,847097.0,Ethan Ampadu
06cms,Sandro Tonali,,,,True,892673.0,Sandro Tonali
06mpp,Mats Wieffer,,,,True,959628.0,Mats Wieffer
04e1c,Lewis Dunk,,,,True,115365.0,Lewis Dunk
05ogb,Anthony Elanga,,,,True,979232.0,Anthony Elanga
038ze,Alex Iwobi,,,,True,352770.0,Alex Iwobi
06c4o,Lyle Foster,,,,True,901907.0,Lyle Foster
05ocl,Ollie Watkins,,,,True,555386.0,Ollie Watkins
05rb8,Moises Caicedo,,,,True,987650.0,Moisés Caicedo
06jgs,Adam Wharton,,,,True,1109771.0,Adam Wharton
