fantrax_id,player_name,team,team_code,position,has_sofascore_match,sofascore_id,sofascore_name
05nns,Danny Ballard,SUN,SUN,D,False,,
05g2o,Joao Pedro,CHE,CHE,F,True,975079.0,João Pedro
04mup,Trevoh Chalobah,CHE,CHE,D,True,826134.0,Trevoh Chalobah
05w9i,Marc Cucurella,CHE,CHE,D,True,794939.0,Marc Cucurella
06fv8,Mohammed Kudus,TOT,TOT,M,False,,
04io4,Richarlison,TOT,TOT,F,False,,
068y0,Antoine Semenyo,BOU,BOU,F,False,,
067yv,Cody Gakpo,LIV,LIV,F,False,,
06zbz,Hugo Ekitiké,LIV,LIV,F,False,,
06zbx,Anton Stach,LEE,LEE,M,False,,
061vq,Erling Haaland,MCI,MCI,F,False,,
02m5b,Chris Wood,NOT,NFO,F,False,,
05rb8,Moises Caicedo,CHE,CHE,M,True,987650.0,Moisés Caicedo
06yb7,Gabriel Gudmundsson,LEE,LEE,D,False,,
056iy,Pedro Neto,CHE,CHE,F,True,879349.0,Pedro Neto
0647t,Lucas Paqueta,WHU,WHU,M,True,839981.0,Lucas Paquetá
05tqx,David Raya,ARS,ARS,G,False,,
04yme,Robert Sanchez,CHE,CHE,G,False,,
068ym,Enzo Fernandez,CHE,CHE,M,True,974505.0,Enzo Fernández
04qfq,Matt O'Riley,BHA,BHA,M,False,,
06nu7,Riccardo Calafiori,ARS,ARS,D,True,957602.0,Riccardo Calafiori
03vlj,Virgil van Dijk,LIV,LIV,D,True,151545.0,Virgil van Dijk
05os4,Rayan Ait-Nouri,MCI,MCI,D,True,931278.0,Rayan Aït-Nouri
04qr9,Morgan Gibbs-White,NOT,NFO,M,True,865912.0,Morgan Gibbs-White
03aqp,Mohamed Salah,LIV,LIV,F,True,159665.0,Mohamed Salah
051k7,Reece James,CHE,CHE,D,True,885908.0,Reece James
06ymu,El Hadji Malick Diouf,WHU,WHU,M,True,1471764.0,El Hadji Malick Diouf
04tig,Fabian Schar,NEW,NEW,D,True,101882.0,Fabian Schär
06v06,Tijjani Reijnders,MCI,MCI,M,True,893549.0,Tijjani Reijnders
06pia,Maxence Lacroix,CRY,CRY,D,True,879674.0,Maxence Lacroix
062x7,Rico Lewis,MCI,MCI,D,True,1136731.0,Rico Lewis
06znb,Robin Roefs,SUN,SUN,G,True,1012928.0,Robin Roefs
061ya,Brennan Johnson,TOT,TOT,F,True,1085180.0,Brennan Johnson
06kwp,Josh Acheampong,CHE,CHE,D,True,1403050.0,Josh Acheampong
02lsa,Dan Burn,NEW,NEW,D,True,99090.0,Dan Burn
044ei,Nick Pope,NEW,NEW,G,True,162653.0,Nick Pope
02oq8,James Ward-Prowse,WHU,WHU,M,True,161717.0,James Ward-Prowse
0558w,William Saliba,ARS,ARS,D,True,941168.0,William Saliba
06v0g,Trai Hume,SUN,SUN,D,True,989034.0,Trai Hume
05n07,Pedro Porro,TOT,TOT,D,True,913654.0,Pedro Porro
06p4k,Matthijs de Ligt,MUN,MUN,D,True,803031.0,Matthijs de Ligt
06yxe,Estevao Willian Almeida de Oliveira Gonçalves,CHE,CHE,F,True,1597265.0,Estêvão Willian
06ymt,Marco Bizot,AVL,AVL,G,True,100390.0,Marco Bizot
04e1e,Ben White,ARS,ARS,D,True,846036.0,Ben White
05w7t,Pape Sarr,TOT,TOT,M,False,,
03hff,Josh Cullen,BUR,BUR,M,True,792122.0,Josh Cullen
0635j,Chris Richards,CRY,CRY,D,True,931844.0,Chris Richards
05oz3,James Trafford,MCI,MCI,G,True,980643.0,James Trafford
04rh9,David Brooks,BOU,BOU,M,True,855731.0,David Brooks
0427d,James Tarkowski,EVE,EVE,D,True,145188.0,James Tarkowski
06cmb,Guglielmo Vicario,TOT,TOT,G,True,553606.0,Guglielmo Vicario
05nzu,Gabriel Magalhaes,ARS,ARS,D,True,869792.0,Gabriel Magalhães
05s08,Valentino Livramento,NEW,NEW,D,True,980634.0,Valentino Livramento
05akv,Tyrick Mitchell,CRY,CRY,D,True,988275.0,Tyrick Mitchell
06mn0,Igor Thiago,BRF,BRF,F,True,1016907.0,Igor Thiago
05o4b,Matty Cash,AVL,AVL,D,True,833956.0,Matty Cash
0700t,Omar Alderete,SUN,SUN,D,True,805137.0,Omar Alderete
0522h,Alexis Mac Allister,LIV,LIV,M,True,895324.0,Alexis Mac Allister
05ye7,Oscar Bobb,MCI,MCI,M,True,1065216.0,Oscar Bobb
03dx3,Kieran Trippier,NEW,NEW,D,True,69256.0,Kieran Trippier
05gcr,Bruno Fernandes,MUN,MUN,M,True,288205.0,Bruno Fernandes
05opj,Elliot Anderson,NOT,NFO,M,True,994546.0,Elliot Anderson
05uoc,Cristian Romero,TOT,TOT,D,True,829932.0,Cristian Romero
03yww,Dean Henderson,CRY,CRY,G,True,788134.0,Dean Henderson
06v0s,Eliezer Mayenda,SUN,SUN,F,True,1168588.0,Eliezer Mayenda
03yqz,Joe Rodon,LEE,LEE,D,True,828640.0,Joe Rodon
04fk6,Bernardo Silva,MCI,MCI,M,True,331209.0,Bernardo Silva
04abn,Harvey Barnes,NEW,NEW,M,True,855647.0,Harvey Barnes
050jq,Marc Guehi,CRY,CRY,D,True,877994.0,Marc Guéhi
0639x,Marcus Tavernier,BOU,BOU,M,True,895576.0,Marcus Tavernier
06ezb,Micky van de Ven,TOT,TOT,D,True,998247.0,Micky van de Ven
06phw,Federico Chiesa,LIV,LIV,F,True,845386.0,Federico Chiesa
05mzz,Pascal Struijk,LEE,LEE,D,True,836675.0,Pascal Struijk
03frx,Ola Aina,NOT,NFO,D,True,800417.0,Ola Aina
04tm0,Lucas Digne,AVL,AVL,D,True,96538.0,Lucas Digne
046c5,Jarrod Bowen,WHU,WHU,F,True,552884.0,Jarrod Bowen
067yz,Matheus Cunha,MUN,MUN,F,True,886363.0,Matheus Cunha
06v07,Rayan Cherki,MCI,MCI,M,True,979128.0,Rayan Cherki
04ym7,Lucas Perri,LEE,LEE,G,True,871290.0,Lucas Perri
02yl5,John Stones,MCI,MCI,D,True,152077.0,John Stones
06v0t,Wilson Isidor,SUN,SUN,F,True,877980.0,Wilson Isidor
06cmm,Dominik Szoboszlai,LIV,LIV,M,True,869856.0,Dominik Szoboszlai
06rm7,Nico González,MCI,MCI,M,True,954056.0,Nico González
