fantrax_id,player_name,team,team_code,position,has_sofascore_match,sofascore_id,sofascore_name
04mup,Trevoh Chalobah,CHE,CHE,D,True,826134.0,Trevoh Chalobah
05g2o,Joao Pedro,CHE,CHE,F,True,975079.0,João Pedro
06nu7,Riccardo Calafiori,ARS,ARS,D,True,957602.0,Riccardo Calafiori
06pia,Maxence Lacroix,CRY,CRY,D,True,879674.0,Maxence Lacroix
067yv,Cody Gakpo,LIV,LIV,F,True,862967.0,Cody Gakpo
068y0,Antoine Semenyo,BOU,BOU,F,True,934354.0,Antoine Semenyo
06dmj,Jurrien Timber,ARS,ARS,D,True,958959.0,Jurriën Timber
02lm7,Jack Grealish,EVE,EVE,M,True,189061.0,Jack Grealish
06fv8,Mohammed Kudus,TOT,TOT,M,True,905163.0,Mohammed Kudus
0647t,Lucas Paqueta,WHU,WHU,M,True,839981.0,Lucas Paquetá
068ym,Enzo Fernandez,CHE,CHE,M,True,974505.0,Enzo Fernández
061vq,Erling Haaland,MCI,MCI,F,True,839956.0,Erling Haaland
05w9i,Marc Cucurella,CHE,CHE,D,True,794939.0,Marc Cucurella
04io4,Richarlison,TOT,TOT,F,True,840217.0,Richarlison
05gcr,Bruno Fernandes,MUN,MUN,M,True,288205.0,Bruno Fernandes
061vk,Jaidon Anthony,BUR,BUR,F,True,1020680.0,Jaidon Anthony
06zbx,Anton Stach,LEE,LEE,M,True,889861.0,Anton Stach
06zbz,Hugo Ekitiké,LIV,LIV,F,True,1048422.0,Hugo Ekitiké
06cmb,Guglielmo Vicario,TOT,TOT,G,True,553606.0,Guglielmo Vicario
05gcc,Kiernan Dewsbury-Hall,EVE,EVE,M,True,861970.0,Kiernan Dewsbury-Hall
063e7,Marcos Senesi,BOU,BOU,D,True,830659.0,Marcos Senesi
06jgi,Daniel Munoz,CRY,CRY,D,True,870360.0,Daniel Muñoz
050jq,Marc Guehi,CRY,CRY,D,True,877994.0,Marc Guéhi
05nns,Danny Ballard,SUN,SUN,D,True,958878.0,Daniel Ballard
05r94,Iliman Ndiaye,EVE,EVE,M,True,914309.0,Iliman Ndiaye
03vlj,Virgil van Dijk,LIV,LIV,D,True,151545.0,Virgil van Dijk
03hff,Josh Cullen,BUR,BUR,M,True,792122.0,Josh Cullen
05trb,Bryan Mbeumo,MUN,MUN,F,True,927083.0,Bryan Mbeumo
06mn0,Igor Thiago,BRF,BRE,F,True,1016907.0,Igor Thiago
05tqx,David Raya,ARS,ARS,G,True,581310.0,David Raya
04tig,Fabian Schar,NEW,NEW,D,True,101882.0,Fabian Schär
0635j,Chris Richards,CRY,CRY,D,True,931844.0,Chris Richards
0427d,James Tarkowski,EVE,EVE,D,True,145188.0,James Tarkowski
05n07,Pedro Porro,TOT,TOT,D,True,913654.0,Pedro Porro
06p4k,Matthijs de Ligt,MUN,MUN,D,True,803031.0,Matthijs de Ligt
032f9,Jordan Pickford,EVE,EVE,G,True,138530.0,Jordan Pickford
04rh9,David Brooks,BOU,BOU,M,True,855731.0,David Brooks
02lsa,Dan Burn,NEW,NEW,D,True,99090.0,Dan Burn
06cmm,Dominik Szoboszlai,LIV,LIV,M,True,869856.0,Dominik Szoboszlai
03yww,Dean Henderson,CRY,CRY,G,True,788134.0,Dean Henderson
05akv,Tyrick Mitchell,CRY,CRY,D,True,988275.0,Tyrick Mitchell
06ymu,El Hadji Malick Diouf,WHU,WHU,M,True,1471764.0,El Hadji Malick Diouf
06znb,Robin Roefs,SUN,SUN,G,True,1012928.0,Robin Roefs
046c5,Jarrod Bowen,WHU,WHU,F,True,552884.0,Jarrod Bowen
044ei,Nick Pope,NEW,NEW,G,True,162653.0,Nick Pope
05oz3,James Trafford,MCI,MCI,G,True,980643.0,James Trafford
04spw,James Garner,EVE,EVE,M,True,927361.0,James Garner
061ya,Brennan Johnson,TOT,TOT,F,True,1085180.0,Brennan Johnson
05opj,Elliot Anderson,NOT,NFO,M,True,994546.0,Elliot Anderson
05s08,Valentino Livramento,NEW,NEW,D,True,980634.0,Valentino Livramento
0639x,Marcus Tavernier,BOU,BOU,M,True,895576.0,Marcus Tavernier
06uyc,Adrien Truffert,BOU,BOU,D,True,999028.0,Adrien Truffert
