player_id,player_name,team_name,team_code,season,team_code_2022_23,team_name_2022_23
846036,Ben White,Arsenal,ARS,2023-24,,
803185,Lukas Nmecha,Leeds United,LEE,2023-24,,
839981,Lucas Paquetá,West Ham United,HAM,2023-24,,
1199282,Murillo,Nottingham Forest,NOT,2023-24,,
99090,Dan Burn,Newcastle United,NEW,2023-24,,
988275,Tyrick Mitchell,Crystal Palace,CRY,2023-24,,
1012928,Robin Roefs,Sunderland,SUN,2023-24,,
945798,Djed Spence,Tottenham Hotspur,TOT,2023-24,,
836675,Pascal Struijk,Leeds United,LEE,2023-24,,
929132,Jayden Bogle,Leeds United,LEE,2023-24,SHE,Sheffield United
867442,Callum Hudson-Odoi,Nottingham Forest,NOT,2023-24,,
1194333,Abdukodir Khusanov,Manchester City,MCI,2023-24,,
869792,Gabriel Magalhães,Arsenal,ARS,2023-24,,
1153315,Leny Yoro,Manchester United,MUN,2023-24,,
845286,Ismaïla Sarr,Crystal Palace,CRY,2023-24,,
69256,Kieran Trippier,Newcastle United,NEW,2023-24,,
877994,Marc Guéhi,Crystal Palace,CRY,2023-24,,
847097,Ethan Ampadu,Leeds United,LEE,2023-24,,
303638,Tyrone Mings,Aston Villa,AST,2023-24,,
828640,Joe Rodon,Leeds United,LEE,2023-24,,
846252,Ryan Yates,Nottingham Forest,NOT,2023-24,,
792122,Josh Cullen,Burnley,BUR,2023-24,,
886363,Matheus Cunha,Manchester United,MUN,2023-24,WOL,Wolverhampton
959628,Mats Wieffer,Brighton & Hove Albion,BRI,2023-24,,
352770,Alex Iwobi,Fulham,FUL,2023-24,,
143040,Wataru Endo,Liverpool,LIV,2023-24,,
866469,Bruno Guimarães,Newcastle United,NEW,2023-24,,
831424,Reinildo Mandava,Sunderland,SUN,2023-24,,
103335,Bernd Leno,Fulham,FUL,2023-24,,
894474,Max Kilman,West Ham United,HAM,2023-24,WOL,Wolverhampton
100390,Marco Bizot,Aston Villa,AST,2023-24,,
998247,Micky van de Ven,Tottenham Hotspur,TOT,2023-24,,
1597265,Estêvão Willian,Chelsea,CHE,2023-24,,
855647,Harvey Barnes,Newcastle United,NEW,2023-24,,
836694,Mason Mount,Manchester United,MUN,2023-24,,
873554,Omar Marmoush,Manchester City,MCI,2023-24,,
1391251,Lucas Bergvall,Tottenham Hotspur,TOT,2023-24,,
869856,Dominik Szoboszlai,Liverpool,LIV,2023-24,,
845273,Jean-Ricner Bellegarde,Wolverhampton,WOL,2023-24,,
970361,Jeremie Frimpong,Liverpool,LIV,2023-24,,
1016907,Igor Thiago,Brentford,BRE,2023-24,,
865912,Morgan Gibbs-White,Nottingham Forest,NOT,2023-24,,
895324,Alexis Mac Allister,Liverpool,LIV,2023-24,,
974505,Enzo Fernández,Chelsea,CHE,2023-24,,
843200,Diogo Dalot,Manchester United,MUN,2023-24,,
1097425,Miloš Kerkez,Liverpool,LIV,2023-24,BOU,Bournemouth
190839,Luke Shaw,Manchester United,MUN,2023-24,,
927353,Curtis Jones,Liverpool,LIV,2023-24,,
920546,Robert Sánchez,Chelsea,CHE,2023-24,,
892673,Sandro Tonali,Newcastle United,NEW,2023-24,,
791190,Rodrigo Bentancur,Tottenham Hotspur,TOT,2023-24,,
1171539,Noah Sadiki,Sunderland,SUN,2023-24,,
1109771,Adam Wharton,Crystal Palace,CRY,2023-24,,
966869,Aaron Hickey,Brentford,BRE,2023-24,,
1085950,Tim Iroegbunam,Everton,EVE,2023-24,AST,Aston Villa
1020680,Jaidon Anthony,Burnley,BUR,2023-24,BOU,Bournemouth
927083,Bryan Mbeumo,Manchester United,MUN,2023-24,BRE,Brentford
1128532,Habib Diarra,Sunderland,SUN,2023-24,,
901907,Lyle Foster,Burnley,BUR,2023-24,,
870360,Daniel Muñoz,Crystal Palace,CRY,2023-24,,
1397168,Patrick Dorgu,Manchester United,MUN,2023-24,,
1199043,Carlos Baleba,Brighton & Hove Albion,BRI,2023-24,,
855731,David Brooks,Bournemouth,BOU,2023-24,,
836705,Kai Havertz,Arsenal,ARS,2023-24,,
138530,Jordan Pickford,Everton,EVE,2023-24,,
836168,Nikola Milenković,Nottingham Forest,NOT,2023-24,,
355796,Jefferson Lerma,Crystal Palace,CRY,2023-24,,
1142335,Archie Gray,Tottenham Hotspur,TOT,2023-24,,
161717,James Ward-Prowse,West Ham United,HAM,2023-24,,
96538,Lucas Digne,Aston Villa,AST,2023-24,,
927356,Neco Williams,Nottingham Forest,NOT,2023-24,,
984014,Enzo Le Fée,Sunderland,SUN,2023-24,,
945217,Jean-Clair Todibo,West Ham United,HAM,2023-24,,
800419,Tyler Adams,Bournemouth,BOU,2023-24,,
371222,Saša Lukić,Fulham,FUL,2023-24,,
1126692,Antoni Milambo,Brentford,BRE,2023-24,,
829570,Jack Harrison,Leeds United,LEE,2023-24,EVE,Everton
1084311,Justin Devenny,Crystal Palace,CRY,2023-24,,
895576,Marcus Tavernier,Bournemouth,BOU,2023-24,,
864921,Eberechi Eze,Crystal Palace,CRY,2023-24,,
552884,Jarrod Bowen,West Ham United,HAM,2023-24,,
1019322,Florian Wirtz,Liverpool,LIV,2023-24,,
998951,Wilfried Gnonto,Leeds United,LEE,2023-24,,
555386,Ollie Watkins,Aston Villa,AST,2023-24,,
355528,Harry Wilson,Fulham,FUL,2023-24,,
1140599,Jamie Gittens,Chelsea,CHE,2023-24,,
894733,Marshall Munetsi,Wolverhampton,WOL,2023-24,,
106337,Idrissa Gueye,Everton,EVE,2023-24,,
996958,Malo Gusto,Chelsea,CHE,2023-24,,
1142675,Chemsdine Talbi,Sunderland,SUN,2023-24,,
1015267,João Gomes,Wolverhampton,WOL,2023-24,,
945122,Matheus Nunes,Manchester City,MCI,2023-24,,
117777,Granit Xhaka,Sunderland,SUN,2023-24,,
1423711,Myles Lewis-Skelly,Arsenal,ARS,2023-24,,
863653,Aaron Wan-Bissaka,West Ham United,HAM,2023-24,MUN,Manchester United
331737,Youri Tielemans,Aston Villa,AST,2023-24,,
1035996,André,Wolverhampton,WOL,2023-24,,
560128,Joelinton,Newcastle United,NEW,2023-24,,
948261,Morgan Rogers,Aston Villa,AST,2023-24,,
786186,Hee-Chan Hwang,Wolverhampton,WOL,2023-24,,
33902,Danny Welbeck,Brighton & Hove Albion,BRI,2023-24,,
871290,Lucas Perri,Leeds United,LEE,2023-24,,
78152,Matz Sels,Nottingham Forest,NOT,2023-24,,
1011895,Jota Silva,Nottingham Forest,NOT,2023-24,,
1004505,Loum Tchaouna,Burnley,BUR,2023-24,,
875137,Zian Flemming,Burnley,BUR,2023-24,,
110846,Michael Keane,Everton,EVE,2023-24,,
876599,Jørgen Strand Larsen,Wolverhampton,WOL,2023-24,,
982780,Cole Palmer,Chelsea,CHE,2023-24,,
871886,Ao Tanaka,Leeds United,LEE,2023-24,,
803039,Donyell Malen,Aston Villa,AST,2023-24,,
892924,Hamed Junior Traorè,Bournemouth,BOU,2023-24,,
958959,Jurriën Timber,Arsenal,ARS,2023-24,,
981619,Igor Jesus,Nottingham Forest,NOT,2023-24,,
364612,João Palhinha,Tottenham Hotspur,TOT,2023-24,FUL,Fulham
997152,Maxim De Cuyper,Brighton & Hove Albion,BRI,2023-24,,
250223,John McGinn,Aston Villa,AST,2023-24,,
1142679,Wilson Odobert,Tottenham Hotspur,TOT,2023-24,BUR,Burnley
795066,Marcus Edwards,Burnley,BUR,2023-24,,
372336,Jacob Murphy,Newcastle United,NEW,2023-24,,
827679,Ezri Konsa,Aston Villa,AST,2023-24,,
42209,Martin Dúbravka,Burnley,BUR,2023-24,NEW,Newcastle United
1400650,Lewis Miley,Newcastle United,NEW,2023-24,,
329417,Timothy Castagne,Fulham,FUL,2023-24,,
911679,Ilia Gruev,Leeds United,LEE,2023-24,,
1104986,Alex Scott,Bournemouth,BOU,2023-24,,
954044,Ki-Jana Hoever,Wolverhampton,WOL,2023-24,,
868715,Jorge Cuenca,Fulham,FUL,2023-24,,
82566,Tom Cairney,Fulham,FUL,2023-24,,
845464,Andy Irving,West Ham United,HAM,2023-24,,
1198075,Brajan Gruda,Brighton & Hove Albion,BRI,2023-24,,
1105779,Andrey Santos,Chelsea,CHE,2023-24,NOT,Nottingham Forest
934235,Bukayo Saka,Arsenal,ARS,2023-24,,
799251,Mathias Jensen,Brentford,BRE,2023-24,,
856714,Declan Rice,Arsenal,ARS,2023-24,,
552036,Josh Laurent,Burnley,BUR,2023-24,,
1526628,Fer López,Wolverhampton,WOL,2023-24,,
936849,Kaoru Mitoma,Brighton & Hove Albion,BRI,2023-24,,
987489,Beto,Everton,EVE,2023-24,,
927361,James Garner,Everton,EVE,2023-24,,
1009386,Hannibal Mejbri,Burnley,BUR,2023-24,MUN,Manchester United
1065588,Diego Gómez,Brighton & Hove Albion,BRI,2023-24,,
846425,Manuel Ugarte,Manchester United,MUN,2023-24,,
609752,Guido Rodríguez,West Ham United,HAM,2023-24,,
189061,Jack Grealish,Everton,EVE,2023-24,MCI,Manchester City
922573,Gabriel Martinelli,Arsenal,ARS,2023-24,,
843754,Ibrahim Sangaré,Nottingham Forest,NOT,2023-24,,
966547,Noni Madueke,Arsenal,ARS,2023-24,CHE,Chelsea
149380,Harry Maguire,Manchester United,MUN,2023-24,,
914309,Iliman Ndiaye,Everton,EVE,2023-24,,
826215,Ibrahima Konaté,Liverpool,LIV,2023-24,,
877102,Nayef Aguerd,West Ham United,HAM,2023-24,,
592010,Mikel Merino,Arsenal,ARS,2023-24,,
318927,Joe Gomez,Liverpool,LIV,2023-24,,
815890,Altay Bayındır,Manchester United,MUN,2023-24,,
286165,Adama Traoré,Fulham,FUL,2023-24,,
1142703,Nico O'Reilly,Manchester City,MCI,2023-24,,
42694,Jordan Henderson,Brentford,BRE,2023-24,,
791,James Milner,Brighton & Hove Albion,BRI,2023-24,,
861972,Calvin Bassey,Fulham,FUL,2023-24,,
1006387,Kevin Schade,Brentford,BRE,2023-24,,
1137431,Michael Kayode,Brentford,BRE,2023-24,,
1013928,Hugo Bueno,Wolverhampton,WOL,2023-24,,
848276,Jean-Philippe Mateta,Crystal Palace,CRY,2023-24,,
1471764,El Hadji Malick Diouf,West Ham United,HAM,2023-24,,
828639,Daniel James,Leeds United,LEE,2023-24,,
972421,Keane Lewis-Potter,Brentford,BRE,2023-24,,
867445,Emile Smith Rowe,Fulham,FUL,2023-24,ARS,Arsenal
1400106,Yankuba Minteh,Brighton & Hove Albion,BRI,2023-24,,
361420,Dominic Solanke,Tottenham Hotspur,TOT,2023-24,BOU,Bournemouth
1048916,Lesley Ugochukwu,Burnley,BUR,2023-24,CHE,Chelsea
934386,Jérémy Doku,Manchester City,MCI,2023-24,,
844096,Jhon Arias,Wolverhampton,WOL,2023-24,,
1395746,Thierno Barry,Everton,EVE,2023-24,,
994363,Bart Verbruggen,Brighton & Hove Albion,BRI,2023-24,,
885864,Frank Onyeka,Brentford,BRE,2023-24,,
809276,Jacob Bruun Larsen,Burnley,BUR,2023-24,,
1031283,David Möller Wolfe,Wolverhampton,WOL,2023-24,,
2007889,Ben Winterburn,Bournemouth,BOU,2023-24,,
924378,Sepp van den Berg,Brentford,BRE,2023-24,,
1546231,Joshua King,Fulham,FUL,2023-24,,
1110842,Simon Adingra,Sunderland,SUN,2023-24,BRI,Brighton & Hove Albion
986397,Benjamin Šeško,Manchester United,MUN,2023-24,,
799041,Tomáš Souček,West Ham United,HAM,2023-24,,
997087,Liam Delap,Chelsea,CHE,2023-24,,
113956,Callum Wilson,West Ham United,HAM,2023-24,NEW,Newcastle United
44614,Kyle Walker,Burnley,BUR,2023-24,MCI,Manchester City
243609,Alisson,Liverpool,LIV,2023-24,,
262911,Andrew Robertson,Liverpool,LIV,2023-24,,
1048888,Mathys Tel,Tottenham Hotspur,TOT,2023-24,,
44566,Adam Smith,Bournemouth,BOU,2023-24,,
998253,Jake O'Brien,Everton,EVE,2023-24,,
991604,Fabio Carvalho,Brentford,BRE,2023-24,,
1017392,Carlos Alcaraz,Everton,EVE,2023-24,,
825844,Ferdi Kadıoğlu,Brighton & Hove Albion,BRI,2023-24,,
827362,Caoimhin Kelleher,Brentford,BRE,2023-24,LIV,Liverpool
793167,Sander Berge,Fulham,FUL,2023-24,BUR,Burnley
856640,Mads Hermansen,West Ham United,HAM,2023-24,,
1006073,Rodrigo Gomes,Wolverhampton,WOL,2023-24,,
999028,Adrien Truffert,Bournemouth,BOU,2023-24,,
973418,Toti Gomes,Wolverhampton,WOL,2023-24,,
914902,Anthony Gordon,Newcastle United,NEW,2023-24,,
850823,Joël Piroe,Leeds United,LEE,2023-24,,
998490,Evanilson,Bournemouth,BOU,2023-24,,
1117223,Maxime Estève,Burnley,BUR,2023-24,,
804508,Viktor Gyökeres,Arsenal,ARS,2023-24,,
143047,Matt Doherty,Wolverhampton,WOL,2023-24,,
1392044,Quilindschy Hartman,Burnley,BUR,2023-24,,
1031258,Yehor Yarmolyuk,Brentford,BRE,2023-24,,
1008456,Oliver Sonne,Burnley,BUR,2023-24,,
830659,Marcos Senesi,Bournemouth,BOU,2023-24,,
975079,João Pedro,Chelsea,CHE,2023-24,BRI,Brighton & Hove Albion
252669,José Sá,Wolverhampton,WOL,2023-24,,
962408,Bafodé Diakité,Bournemouth,BOU,2023-24,,
875360,Hjalmar Ekdal,Burnley,BUR,2023-24,,
958916,Nathan Collins,Brentford,BRE,2023-24,,
599128,Rico Henry,Brentford,BRE,2023-24,,
192442,Raúl Jiménez,Fulham,FUL,2023-24,,
132645,Niclas Füllkrug,West Ham United,HAM,2023-24,,
1013842,Emmanuel Agbadou,Wolverhampton,WOL,2023-24,,
1426228,Eli Junior Kroupi,Bournemouth,BOU,2023-24,,
1394089,Chris Rigg,Sunderland,SUN,2023-24,,
866191,Sean Longstaff,Leeds United,LEE,2023-24,NEW,Newcastle United
1156586,James Hill,Bournemouth,BOU,2023-24,,
1122603,William Osula,Newcastle United,NEW,2023-24,SHE,Sheffield United
827606,Rodri,Manchester City,MCI,2022-23,,
888971,Arijanet Murić,Burnley,BUR,2022-23,,
70996,Kevin De Bruyne,Manchester City,MCI,2022-23,,
859765,Phil Foden,Manchester City,MCI,2022-23,,
978838,Michael Olise,Crystal Palace,CRY,2022-23,,
356398,James Maddison,Tottenham Hotspur,TOT,2022-23,,
48480,Pascal Groß,Brighton & Hove Albion,BRI,2022-23,,
111505,Heung-min Son,Tottenham Hotspur,TOT,2022-23,,
964994,Joško Gvardiol,Manchester City,MCI,2022-23,,
227212,Thomas Strakosha,Brentford,BRE,2022-23,,
301288,Solly March,Brighton & Hove Albion,BRI,2022-23,,
96531,Alphonse Aréola,West Ham United,HAM,2022-23,,
944656,Julián Álvarez,Manchester City,MCI,2022-23,,
1008402,Conor Bradley,Liverpool,LIV,2022-23,,
904970,Conor Gallagher,Chelsea,CHE,2022-23,,
795064,Trent Alexander-Arnold,Liverpool,LIV,2022-23,,
867887,Douglas Luiz,Aston Villa,AST,2022-23,,
606164,Diogo Jota,Liverpool,LIV,2022-23,,
862223,Manor Solomon,Tottenham Hotspur,TOT,2022-23,,
935543,Dwight McNeil,Everton,EVE,2022-23,,
383560,Manuel Akanji,Manchester City,MCI,2022-23,,
787498,André Onana,Manchester United,MUN,2022-23,,
883537,Luis Díaz,Liverpool,LIV,2022-23,,
287643,Oleksandr Zinchenko,Arsenal,ARS,2022-23,,
856720,Mark Travers,Bournemouth,BOU,2022-23,,
823941,Alexander Isak,Newcastle United,NEW,2022-23,,
98435,Ross Barkley,Luton Town,LUT,2022-23,,
794839,Gabriel Jesus,Arsenal,ARS,2022-23,,
808590,Leon Bailey,Aston Villa,AST,2022-23,,
50027,Craig Dawson,Wolverhampton,WOL,2022-23,,
955245,Harvey Elliott,Liverpool,LIV,2022-23,,
31417,Willian,Fulham,FUL,2022-23,,
901892,Albert Sambi Lokonga,Luton Town,LUT,2022-23,,
84844,Neto,Bournemouth,BOU,2022-23,,
158263,Emiliano Martínez,Aston Villa,AST,2022-23,,
928124,Dejan Kulusevski,Tottenham Hotspur,TOT,2022-23,,
149663,Nathan Aké,Manchester City,MCI,2022-23,,
192144,Aleksandar Mitrović,Fulham,FUL,2022-23,,
26025,Robin Olsen,Aston Villa,AST,2022-23,,
171919,Mark Flekken,Brentford,BRE,2022-23,,
805123,Yoane Wissa,Brentford,BRE,2022-23,,
138573,Pablo Sarabia,Wolverhampton,WOL,2022-23,,
322391,Ryan Christie,Bournemouth,BOU,2022-23,,
33541,Thiago Silva,Chelsea,CHE,2022-23,,
979563,Jarrad Branthwaite,Everton,EVE,2022-23,,
135666,Leandro Trossard,Arsenal,ARS,2022-23,,
285949,Andreas Pereira,Fulham,FUL,2022-23,,
1135873,Alejandro Garnacho,Manchester United,MUN,2022-23,,
232306,Timo Werner,Tottenham Hotspur,TOT,2022-23,,
906047,Cheick Doucouré,Crystal Palace,CRY,2022-23,,
855864,Ethan Pinnock,Brentford,BRE,2022-23,,
867583,Ben Brereton Díaz,Sheffield United,SHE,2022-23,,
135256,Christian Nørgaard,Brentford,BRE,2022-23,,
836070,Luis Sinisterra,Bournemouth,BOU,2022-23,,
307284,Mario Lemina,Wolverhampton,WOL,2022-23,,
805465,Pervis Estupiñán,Brighton & Hove Albion,BRI,2022-23,,
358222,Carlton Morris,Luton Town,LUT,2022-23,,
15479,Łukasz Fabiański,West Ham United,HAM,2022-23,,
798835,Giovani Lo Celso,Tottenham Hotspur,TOT,2022-23,,
844842,Yves Bissouma,Tottenham Hotspur,TOT,2022-23,,
945792,Alfie Doughty,Luton Town,LUT,2022-23,,
849309,Chiedozie Ogbene,Luton Town,LUT,2022-23,,
924871,Darwin Núñez,Liverpool,LIV,2022-23,,
352668,Tosin Adarabioyo,Fulham,FUL,2022-23,,
139310,Willy Boly,Nottingham Forest,NOT,2022-23,,
38710,Ivan Perišić,Tottenham Hotspur,TOT,2022-23,,
94758,Ben Davies,Tottenham Hotspur,TOT,2022-23,,
136710,Mateo Kovačić,Manchester City,MCI,2022-23,,
316148,Thomas Partey,Arsenal,ARS,2022-23,,
51501,Joël Matip,Liverpool,LIV,2022-23,,
1085381,Nicolas Jackson,Chelsea,CHE,2022-23,,
1003339,Jarell Quansah,Liverpool,LIV,2022-23,,
103045,Jordan Ayew,Crystal Palace,CRY,2022-23,,
996911,Levi Colwill,Chelsea,CHE,2022-23,,
786259,Konstantinos Tsimikas,Liverpool,LIV,2022-23,,
137789,James Shea,Luton Town,LUT,2022-23,,
566102,Davinson Sánchez,Tottenham Hotspur,TOT,2022-23,,
149734,Aymeric Laporte,Manchester City,MCI,2022-23,,
254491,Ederson,Manchester City,MCI,2022-23,,
973556,Julio Enciso,Brighton & Hove Albion,BRI,2022-23,,
548188,Lewis Cook,Bournemouth,BOU,2022-23,,
187861,Wesley Foderingham,Sheffield United,SHE,2022-23,,
833943,Matt Turner,Nottingham Forest,NOT,2022-23,,
803174,Antonee Robinson,Fulham,FUL,2022-23,,
290927,Ivan Toney,Brentford,BRE,2022-23,,
876643,Vitaliy Mykolenko,Everton,EVE,2022-23,,
367228,Oliver McBurnie,Sheffield United,SHE,2022-23,,
855817,Moussa Diaby,Aston Villa,AST,2022-23,,
138534,Raheem Sterling,Chelsea,CHE,2022-23,,
132874,Jorginho,Arsenal,ARS,2022-23,,
125274,Stefan Ortega,Manchester City,MCI,2022-23,,
976037,Jakub Kiwior,Arsenal,ARS,2022-23,,
907668,Billy Gilmour,Brighton & Hove Albion,BRI,2022-23,,
358394,Josh Brownhill,Burnley,BUR,2022-23,,
814873,Vitaly Janelt,Brentford,BRE,2022-23,,
333373,Miguel Almirón,Newcastle United,NEW,2022-23,,
1142175,Kobbie Mainoo,Manchester United,MUN,2022-23,,
1142315,Jack Hinshelwood,Brighton & Hove Albion,BRI,2022-23,,
871765,Nicolás Domínguez,Nottingham Forest,NOT,2022-23,,
358108,Scott McKenna,Nottingham Forest,NOT,2022-23,,
879346,Scott McTominay,Manchester United,MUN,2022-23,,
155997,Emerson Palmieri,West Ham United,HAM,2022-23,,
197848,Tom Lockyer,Luton Town,LUT,2022-23,,
904835,Fábio Vieira,Arsenal,ARS,2022-23,,
837495,Gustavo Hamer,Sheffield United,SHE,2022-23,,
825719,Issa Diop,Fulham,FUL,2022-23,,
958966,Mykhaylo Mudryk,Chelsea,CHE,2022-23,,
927175,Jordan Beyer,Burnley,BUR,2022-23,,
45959,Thomas Kaminski,Luton Town,LUT,2022-23,,
359664,Taiwo Awoniyi,Nottingham Forest,NOT,2022-23,,
138310,Raphaël Varane,Manchester United,MUN,2022-23,,
96535,Abdoulaye Doucouré,Everton,EVE,2022-23,,
372344,Dominic Calvert-Lewin,Everton,EVE,2022-23,,
814590,Marcus Rashford,Manchester United,MUN,2022-23,,
847151,Edson Álvarez,West Ham United,HAM,2022-23,,
159675,Mohamed Elneny,Arsenal,ARS,2022-23,,
1401702,Ethan Nwaneri,Arsenal,ARS,2022-23,,
983572,Destiny Udogie,Tottenham Hotspur,TOT,2022-23,,
958380,Antony,Manchester United,MUN,2022-23,,
858194,Edward Nketiah,Arsenal,ARS,2022-23,,
858195,Sergio Reguilón,Brentford,BRE,2022-23,,
576384,Kristoffer Ajer,Brentford,BRE,2022-23,,
26404,Zanka,Brentford,BRE,2022-23,,
1106451,Dango Ouattara,Bournemouth,BOU,2022-23,,
910046,Sven Botman,Newcastle United,NEW,2022-23,,
856719,Dara O'Shea,Burnley,BUR,2022-23,,
216308,Adam Webster,Brighton & Hove Albion,BRI,2022-23,,
804434,Takehiro Tomiyasu,Arsenal,ARS,2022-23,,
769333,Christopher Nkunku,Chelsea,CHE,2022-23,,
754698,Ben Godfrey,Everton,EVE,2022-23,,
842513,Igor Júlio,Brighton & Hove Albion,BRI,2022-23,,
802695,Ben Chilwell,Chelsea,CHE,2022-23,,
143334,Victor Lindelöf,Manchester United,MUN,2022-23,,
870038,Saša Kalajdžić,Wolverhampton,WOL,2022-23,,
105734,Christian Eriksen,Manchester United,MUN,2022-23,,
1086417,Rasmus Højlund,Manchester United,MUN,2022-23,,
30144,Jonny Evans,Manchester United,MUN,2022-23,,
795228,Odsonne Édouard,Crystal Palace,CRY,2022-23,,
974577,Jhon Durán,Aston Villa,AST,2022-23,,
1064039,Danilo,Nottingham Forest,NOT,2022-23,,
49805,Jóhann Guðmundsson,Burnley,BUR,2022-23,,
841005,Mads Juel Andersen,Luton Town,LUT,2022-23,,
1191153,Oliver Arblaster,Sheffield United,SHE,2022-23,,
827243,Axel Disasi,Chelsea,CHE,2022-23,,
548660,Philip Billing,Bournemouth,BOU,2022-23,,
864169,Pau Torres,Aston Villa,AST,2022-23,,
137774,Ben Mee,Brentford,BRE,2022-23,,
856123,Emerson Royal,Tottenham Hotspur,TOT,2022-23,,
151499,Bobby Decordova-Reid,Fulham,FUL,2022-23,,
372342,Reece Burke,Luton Town,LUT,2022-23,,
98427,Sam Johnstone,Crystal Palace,CRY,2022-23,,
932628,Tommy Doyle,Wolverhampton,WOL,2022-23,,
105697,Serge Aurier,Nottingham Forest,NOT,2022-23,,
999231,Evan Ferguson,Brighton & Hove Albion,BRI,2022-23,,
