player_id,player_name,team_name,team_code,season,team_code_2022_23,team_name_2022_23
840217,Richarlison,Tottenham Hotspur,TOT,2023-24,,
958878,Daniel Ballard,Sunderland,SUN,2023-24,,
50480,Chris Wood,Nottingham Forest,NOT,2023-24,,
905163,Mohammed Kudus,Tottenham Hotspur,TOT,2023-24,HAM,West Ham United
934354,Antoine Semenyo,Bournemouth,BOU,2023-24,,
862967,Cody Gakpo,Liverpool,LIV,2023-24,,
839956,Erling Haaland,Manchester City,MCI,2023-24,,
159665,Mohamed Salah,Liverpool,LIV,2023-24,,
962012,Jan Paul van Hecke,Brighton & Hove Albion,BRI,2023-24,,
957602,Riccardo Calafiori,Arsenal,ARS,2023-24,,
581310,David Raya,Arsenal,ARS,2023-24,,
1048422,Hugo Ekitiké,Liverpool,LIV,2023-24,,
553606,Guglielmo Vicario,Tottenham Hotspur,TOT,2023-24,,
101882,Fabian Schär,Newcastle United,NEW,2023-24,,
893549,Tijjani Reijnders,Manchester City,MCI,2023-24,,
877980,Wilson Isidor,Sunderland,SUN,2023-24,,
1002711,Pape Matar Sarr,Tottenham Hotspur,TOT,2023-24,,
885908,Reece James,Chelsea,CHE,2023-24,,
288205,Bruno Fernandes,Manchester United,MUN,2023-24,,
1085180,Brennan Johnson,Tottenham Hotspur,TOT,2023-24,,
845386,Federico Chiesa,Liverpool,LIV,2023-24,,
979128,Rayan Cherki,Manchester City,MCI,2023-24,,
1136731,Rico Lewis,Manchester City,MCI,2023-24,,
826204,Boubacar Kamara,Aston Villa,AST,2023-24,,
954056,Nico González,Manchester City,MCI,2023-24,,
987650,Moisés Caicedo,Chelsea,CHE,2023-24,,
833956,Matty Cash,Aston Villa,AST,2023-24,,
162653,Nick Pope,Newcastle United,NEW,2023-24,,
151545,Virgil van Dijk,Liverpool,LIV,2023-24,,
547410,Martin Ødegaard,Arsenal,ARS,2023-24,,
931278,Rayan Aït-Nouri,Manchester City,MCI,2023-24,WOL,Wolverhampton
913654,Pedro Porro,Tottenham Hotspur,TOT,2023-24,,
994546,Elliot Anderson,Nottingham Forest,NOT,2023-24,NEW,Newcastle United
941168,William Saliba,Arsenal,ARS,2023-24,,
152077,John Stones,Manchester City,MCI,2023-24,,
834308,Gabriel Gudmundsson,Leeds United,LEE,2023-24,,
1403050,Josh Acheampong,Chelsea,CHE,2023-24,,
971037,Amad Diallo,Manchester United,MUN,2023-24,,
944327,Dan Ndoye,Nottingham Forest,NOT,2023-24,,
1168588,Eliezer Mayenda,Sunderland,SUN,2023-24,,
318941,Rúben Dias,Manchester City,MCI,2023-24,,
980643,James Trafford,Manchester City,MCI,2023-24,BUR,Burnley
882604,Đorđe Petrović,Bournemouth,BOU,2023-24,CHE,Chelsea
788134,Dean Henderson,Crystal Palace,CRY,2023-24,,
879674,Maxence Lacroix,Crystal Palace,CRY,2023-24,,
190877,Kenny Tete,Fulham,FUL,2023-24,,
803031,Matthijs de Ligt,Manchester United,MUN,2023-24,,
115365,Lewis Dunk,Brighton & Hove Albion,BRI,2023-24,,
826134,Trevoh Chalobah,Chelsea,CHE,2023-24,,
931844,Chris Richards,Crystal Palace,CRY,2023-24,,
891829,Matt O'Riley,Brighton & Hove Albion,BRI,2023-24,,
1065216,Oscar Bobb,Manchester City,MCI,2023-24,,
805137,Omar Alderete,Sunderland,SUN,2023-24,,
122951,Casemiro,Manchester United,MUN,2023-24,,
331209,Bernardo Silva,Manchester City,MCI,2023-24,,
923973,Amadou Onana,Aston Villa,AST,2023-24,EVE,Everton
1036269,Yasin Ayari,Brighton & Hove Albion,BRI,2023-24,,
989034,Trai Hume,Sunderland,SUN,2023-24,,
889861,Anton Stach,Leeds United,LEE,2023-24,,
879349,Pedro Neto,Chelsea,CHE,2023-24,WOL,Wolverhampton
1015256,Rodrigo Muniz,Fulham,FUL,2023-24,,
829932,Cristian Romero,Tottenham Hotspur,TOT,2023-24,,
966837,Martín Zubimendi,Arsenal,ARS,2023-24,,
861970,Kiernan Dewsbury-Hall,Everton,EVE,2023-24,,
980634,Valentino Livramento,Newcastle United,NEW,2023-24,,
800417,Ola Aina,Nottingham Forest,NOT,2023-24,,
973431,Brenden Aaronson,Leeds United,LEE,2023-24,,
362682,Joachim Andersen,Fulham,FUL,2023-24,CRY,Crystal Palace
193554,Will Hughes,Crystal Palace,CRY,2023-24,,
1088897,Jenson Seelt,Sunderland,SUN,2023-24,,
979232,Anthony Elanga,Newcastle United,NEW,2023-24,NOT,Nottingham Forest
145188,James Tarkowski,Everton,EVE,2023-24,,
794939,Marc Cucurella,Chelsea,CHE,2023-24,,
946695,Georginio Rutter,Brighton & Hove Albion,BRI,2023-24,,
