player_id,player_name,team_name,team_code
839956,Erling Haaland,Manchester City,MCI
1471671,Jaydee Canvot,Crystal Palace,CRY
856714,Declan Rice,Arsenal,ARS
189061,Jack Grealish,Everton,EVE
117777,Granit Xhaka,Sunderland,SUN
987650,Moisés Caicedo,Chelsea,CHE
980643,James Trafford,Manchester City,MCI
934386,Jérémy Doku,Manchester City,MCI
1135873,Alejandro Garnacho,Chelsea,CHE
877994,Marc Guéhi,Crystal Palace,CRY
962012,Jan Paul van Hecke,Brighton & Hove Albion,BRI
869792,Gabriel Magalhães,Arsenal,ARS
934235,Bukayo Saka,Arsenal,ARS
780014,Nordi Mukiele,Sunderland,SUN
958878,Daniel Ballard,Sunderland,SUN
904897,Ryan Gravenberch,Liverpool,LIV
288205,Bruno Fernandes,Manchester United,MUN
553606,Guglielmo Vicario,Tottenham Hotspur,TOT
364612,João Palhinha,Tottenham Hotspur,TOT
885908,Reece James,Chelsea,CHE
941168,William Saliba,Arsenal,ARS
923973,Amadou Onana,Aston Villa,AST
151545,Virgil van Dijk,Liverpool,LIV
101882,Fabian Schär,Newcastle United,NEW
783126,Emiliano Buendía,Aston Villa,AST
1016907,Igor Thiago,Brentford,BRE
934354,Antoine Semenyo,Bournemouth,BOU
966837,Martín Zubimendi,Arsenal,ARS
879349,Pedro Neto,Chelsea,CHE
846036,Ben White,Arsenal,ARS
1012928,Robin Roefs,Sunderland,SUN
826134,Trevoh Chalobah,Chelsea,CHE
866469,Bruno Guimarães,Newcastle United,NEW
805137,Omar Alderete,Sunderland,SUN
958959,Jurriën Timber,Arsenal,ARS
869856,Dominik Szoboszlai,Liverpool,LIV
788134,Dean Henderson,Crystal Palace,CRY
829932,Cristian Romero,Tottenham Hotspur,TOT
927083,Bryan Mbeumo,Manchester United,MUN
839981,Lucas Paquetá,West Ham United,HAM
861970,Kiernan Dewsbury-Hall,Everton,EVE
145188,James Tarkowski,Everton,EVE
826204,Boubacar Kamara,Aston Villa,AST
98427,Sam Johnstone,Wolverhampton,WOL
994546,Elliot Anderson,Nottingham Forest,NOT
927361,James Garner,Everton,EVE
362682,Joachim Andersen,Fulham,FUL
792122,Josh Cullen,Burnley,BUR
827606,Rodri,Manchester City,MCI
914309,Iliman Ndiaye,Everton,EVE
954056,Nico González,Manchester City,MCI
830659,Marcos Senesi,Bournemouth,BOU
931844,Chris Richards,Crystal Palace,CRY
974505,Enzo Fernández,Chelsea,CHE
162653,Nick Pope,Newcastle United,NEW
122951,Casemiro,Manchester United,MUN
103335,Bernd Leno,Fulham,FUL
945122,Matheus Nunes,Manchester City,MCI
864921,Eberechi Eze,Arsenal,ARS
190877,Kenny Tete,Fulham,FUL
975079,João Pedro,Chelsea,CHE
106337,Idrissa Gueye,Everton,EVE
138530,Jordan Pickford,Everton,EVE
318941,Rúben Dias,Manchester City,MCI
845286,Ismaïla Sarr,Crystal Palace,CRY
1426228,Eli Junior Kroupi,Bournemouth,BOU
998247,Micky van de Ven,Tottenham Hotspur,TOT
1109771,Adam Wharton,Crystal Palace,CRY
862967,Cody Gakpo,Liverpool,LIV
794338,Daichi Kamada,Crystal Palace,CRY
892673,Sandro Tonali,Newcastle United,NEW
110846,Michael Keane,Everton,EVE
971037,Amad Diallo,Manchester United,MUN
870360,Daniel Muñoz,Crystal Palace,CRY
847030,Noussair Mazraoui,Manchester United,MUN
243609,Alisson,Liverpool,LIV
827679,Ezri Konsa,Aston Villa,AST
547410,Martin Ødegaard,Arsenal,ARS
352770,Alex Iwobi,Fulham,FUL
827362,Caoimhin Kelleher,Brentford,BRE
42209,Martin Dúbravka,Burnley,BUR
886363,Matheus Cunha,Manchester United,MUN
964753,Senne Lammens,Manchester United,MUN
1194333,Abdukodir Khusanov,Manchester City,MCI
964994,Joško Gvardiol,Manchester City,MCI
1065588,Diego Gómez,Brighton & Hove Albion,BRI
355528,Harry Wilson,Fulham,FUL
866191,Sean Longstaff,Leeds United,LEE
927353,Curtis Jones,Liverpool,LIV
552884,Jarrod Bowen,West Ham United,HAM
794939,Marc Cucurella,Chelsea,CHE
1403050,Josh Acheampong,Chelsea,CHE
859765,Phil Foden,Manchester City,MCI
879674,Maxence Lacroix,Crystal Palace,CRY
905163,Mohammed Kudus,Tottenham Hotspur,TOT
1088897,Jenson Seelt,Sunderland,SUN
803031,Matthijs de Ligt,Manchester United,MUN
994363,Bart Verbruggen,Brighton & Hove Albion,BRI
1142562,Mateus Fernandes,West Ham United,HAM
372336,Jacob Murphy,Newcastle United,NEW
848276,Jean-Philippe Mateta,Crystal Palace,CRY
1400106,Yankuba Minteh,Brighton & Hove Albion,BRI
973431,Brenden Aaronson,Leeds United,LEE
865523,Noah Okafor,Leeds United,LEE
161717,James Ward-Prowse,West Ham United,HAM
1104986,Alex Scott,Bournemouth,BOU
1137431,Michael Kayode,Brentford,BRE
979128,Rayan Cherki,Manchester City,MCI
856250,Ladislav Krejčí,Wolverhampton,WOL
1597265,Estêvão,Chelsea,CHE
1142703,Nico O'Reilly,Manchester City,MCI
828640,Joe Rodon,Leeds United,LEE
799251,Mathias Jensen,Brentford,BRE
988275,Tyrick Mitchell,Crystal Palace,CRY
98435,Ross Barkley,Aston Villa,AST
1065216,Oscar Bobb,Manchester City,MCI
331737,Youri Tielemans,Aston Villa,AST
962053,Filip Jørgensen,Chelsea,CHE
1014286,Malick Thiaw,Newcastle United,NEW
303638,Tyrone Mings,Aston Villa,AST
826139,Reiss Nelson,Brentford,BRE
352668,Tosin Adarabioyo,Chelsea,CHE
833956,Matty Cash,Aston Villa,AST
907072,Mikkel Damsgaard,Brentford,BRE
875137,Zian Flemming,Burnley,BUR
856739,Lutsharel Geertruida,Sunderland,SUN
864169,Pau Torres,Aston Villa,AST
980634,Valentino Livramento,Newcastle United,NEW
250223,John McGinn,Aston Villa,AST
826215,Ibrahima Konaté,Liverpool,LIV
966547,Noni Madueke,Arsenal,ARS
158263,Emiliano Martínez,Aston Villa,AST
149663,Nathan Aké,Manchester City,MCI
840217,Richarlison,Tottenham Hotspur,TOT
913654,Pedro Porro,Tottenham Hotspur,TOT
982780,Cole Palmer,Chelsea,CHE
287643,Oleksandr Zinchenko,Nottingham Forest,NOT
957602,Riccardo Calafiori,Arsenal,ARS
846308,Santiago Bueno,Wolverhampton,WOL
855845,Florentino Luís,Burnley,BUR
355796,Jefferson Lerma,Crystal Palace,CRY
581310,David Raya,Arsenal,ARS
1048916,Lesley Ugochukwu,Burnley,BUR
891829,Matt O'Riley,Brighton & Hove Albion,BRI
1006387,Kevin Schade,Brentford,BRE
800419,Tyler Adams,Bournemouth,BOU
882604,Đorđe Petrović,Bournemouth,BOU
847097,Ethan Ampadu,Leeds United,LEE
889861,Anton Stach,Leeds United,LEE
817979,Axel Tuanzebe,Burnley,BUR
96538,Lucas Digne,Aston Villa,AST
871765,Nicolás Domínguez,Nottingham Forest,NOT
893549,Tijjani Reijnders,Manchester City,MCI
791190,Rodrigo Bentancur,Tottenham Hotspur,TOT
867442,Callum Hudson-Odoi,Nottingham Forest,NOT
824509,Gianluigi Donnarumma,Manchester City,MCI
867887,Douglas Luiz,Nottingham Forest,NOT
69256,Kieran Trippier,Newcastle United,NEW
923894,Wesley Fofana,Chelsea,CHE
33902,Danny Welbeck,Brighton & Hove Albion,BRI
927356,Neco Williams,Nottingham Forest,NOT
1144630,Cristhian Mosquera,Arsenal,ARS
829022,Konstantinos Mavropanos,West Ham United,HAM
843754,Ibrahim Sangaré,Nottingham Forest,NOT
980623,Nick Woltemade,Newcastle United,NEW
1002711,Pape Matar Sarr,Tottenham Hotspur,TOT
1391251,Lucas Bergvall,Tottenham Hotspur,TOT
836694,Mason Mount,Manchester United,MUN
1881902,Rio Ngumoha,Liverpool,LIV
1445799,Ayden Heaven,Manchester United,MUN
917005,Crysencio Summerville,West Ham United,HAM
1438837,Romain Esse,Crystal Palace,CRY
43215,Nathaniel Clyne,Crystal Palace,CRY
904827,Benoît Badiashile,Chelsea,CHE
219572,Joël Veltman,Brighton & Hove Albion,BRI
794953,Kevin Danso,Tottenham Hotspur,TOT
135256,Christian Nørgaard,Arsenal,ARS
