player_id,player_name,team_name,team_code
840217,Richarlison,Tottenham Hotspur,TOT
958878,Daniel Ballard,Sunderland,SUN
50480,Chris Wood,Nottingham Forest,NFO
905163,Mohammed Kudus,Tottenham Hotspur,TOT
934354,Antoine Semenyo,Bournemouth,BOU
862967,Cody Gakpo,Liverpool,LIV
839956,Erling Haaland,Manchester City,MCI
159665,Mohamed Salah,Liverpool,LIV
962012,Jan Paul van Hecke,Brighton & Hove Albion,BHA
957602,Riccardo Calafiori,Arsenal,ARS
581310,David Raya,Arsenal,ARS
987650,Moisés Caicedo,Chelsea,CHE
1048422,Hugo Ekitiké,Liverpool,LIV
553606,Guglielmo Vicario,Tottenham Hotspur,TOT
101882,Fabian Schär,Newcastle United,NEW
975079,João Pedro,Chelsea,CHE
893549,Tijjani Reijnders,Manchester City,MCI
877980,Wilson Isidor,Sunderland,SUN
1002711,Pape Matar Sarr,Tottenham Hotspur,TOT
288205,Bruno Fernandes,Manchester United,MUN
1085180,Brennan Johnson,Tottenham Hotspur,TOT
845386,Federico Chiesa,Liverpool,LIV
839981,Lucas Paquetá,West Ham United,WHU
979128,Rayan Cherki,Manchester City,MCI
1136731,Rico Lewis,Manchester City,MCI
826204,Boubacar Kamara,Aston Villa,AVL
954056,Nico González,Manchester City,MCI
833956,Matty Cash,Aston Villa,AVL
162653,Nick Pope,Newcastle United,NEW
151545,Virgil van Dijk,Liverpool,LIV
547410,Martin Ødegaard,Arsenal,ARS
931278,Rayan Aït-Nouri,Manchester City,MCI
913654,Pedro Porro,Tottenham Hotspur,TOT
826134,Trevoh Chalobah,Chelsea,CHE
994546,Elliot Anderson,Nottingham Forest,NFO
941168,William Saliba,Arsenal,ARS
152077,John Stones,Manchester City,MCI
834308,Gabriel Gudmundsson,Leeds United,LEE
1403050,Josh Acheampong,Chelsea,CHE
971037,Amad Diallo,Manchester United,MUN
944327,Dan Ndoye,Nottingham Forest,NFO
1168588,Eliezer Mayenda,Sunderland,SUN
318941,Rúben Dias,Manchester City,MCI
980643,James Trafford,Manchester City,MCI
882604,Đorđe Petrović,Bournemouth,BOU
352668,Tosin Adarabioyo,Chelsea,CHE
788134,Dean Henderson,Crystal Palace,CRY
879674,Maxence Lacroix,Crystal Palace,CRY
190877,Kenny Tete,Fulham,FUL
885908,Reece James,Chelsea,CHE
803031,Matthijs de Ligt,Manchester United,MUN
115365,Lewis Dunk,Brighton & Hove Albion,BHA
931844,Chris Richards,Crystal Palace,CRY
879349,Pedro Neto,Chelsea,CHE
891829,Matt O'Riley,Brighton & Hove Albion,BHA
1065216,Oscar Bobb,Manchester City,MCI
805137,Omar Alderete,Sunderland,SUN
122951,Casemiro,Manchester United,MUN
331209,Bernardo Silva,Manchester City,MCI
923973,Amadou Onana,Aston Villa,AVL
1036269,Yasin Ayari,Brighton & Hove Albion,BHA
989034,Trai Hume,Sunderland,SUN
