player_id,player_name,team_name,team_code
958878,Daniel Ballard,Sunderland,SUN
975079,João Pedro,Chelsea,CHE
189061,Jack Grealish,Everton,EVE
987650,Moisés Caicedo,Chelsea,CHE
794338,Daichi Kamada,Crystal Palace,CRY
553606,Guglielmo Vicario,Tottenham Hotspur,TOT
840217,Richarlison,Tottenham Hotspur,TOT
862967,Cody Gakpo,Liverpool,LIV
826134,Trevoh Chalobah,Chelsea,CHE
780014,Nordi Mukiele,Sunderland,SUN
861970,Kiernan Dewsbury-Hall,Everton,EVE
958959,Jurriën Timber,Arsenal,ARS
1881902,Rio Ngumoha,Liverpool,LIV
905163,Mohammed Kudus,Tottenham Hotspur,TOT
352668,Tosin Adarabioyo,Chelsea,CHE
839981,Lucas Paquetá,West Ham United,WHU
288205,Bruno Fernandes,Manchester United,MUN
877994,Marc Guéhi,Crystal Palace,CRY
941168,William Saliba,Arsenal,ARS
1403050,Josh Acheampong,Chelsea,CHE
190877,Kenny Tete,Fulham,FUL
151545,Virgil van Dijk,Liverpool,LIV
979128,Rayan Cherki,Manchester City,MCI
792122,Josh Cullen,Burnley,BUR
917005,Crysencio Summerville,West Ham United,WHU
158263,Emiliano Martínez,Aston Villa,AVL
980643,James Trafford,Manchester City,MCI
103335,Bernd Leno,Fulham,FUL
839956,Erling Haaland,Manchester City,MCI
1085180,Brennan Johnson,Tottenham Hotspur,TOT
957602,Riccardo Calafiori,Arsenal,ARS
138530,Jordan Pickford,Everton,EVE
803031,Matthijs de Ligt,Manchester United,MUN
931844,Chris Richards,Crystal Palace,CRY
954056,Nico González,Manchester City,MCI
845286,Ismaïla Sarr,Crystal Palace,CRY
855731,David Brooks,Bournemouth,BOU
910046,Sven Botman,Newcastle United,NEW
581310,David Raya,Arsenal,ARS
362682,Joachim Andersen,Fulham,FUL
879349,Pedro Neto,Chelsea,CHE
794939,Marc Cucurella,Chelsea,CHE
788134,Dean Henderson,Crystal Palace,CRY
1020680,Jaidon Anthony,Burnley,BUR
877980,Wilson Isidor,Sunderland,SUN
934354,Antoine Semenyo,Bournemouth,BOU
50480,Chris Wood,Nottingham Forest,NFO
927083,Bryan Mbeumo,Manchester United,MUN
869856,Dominik Szoboszlai,Liverpool,LIV
994546,Elliot Anderson,Nottingham Forest,NFO
879674,Maxence Lacroix,Crystal Palace,CRY
829932,Cristian Romero,Tottenham Hotspur,TOT
827606,Rodri,Manchester City,MCI
846036,Ben White,Arsenal,ARS
870360,Daniel Muñoz,Crystal Palace,CRY
882604,Đorđe Petrović,Bournemouth,BOU
101882,Fabian Schär,Newcastle United,NEW
885908,Reece James,Chelsea,CHE
1048422,Hugo Ekitiké,Liverpool,LIV
552884,Jarrod Bowen,West Ham United,WHU
927361,James Garner,Everton,EVE
873554,Omar Marmoush,Manchester City,MCI
974505,Enzo Fernández,Chelsea,CHE
1016907,Igor Thiago,Brentford,BRE
829022,Konstantinos Mavropanos,West Ham United,WHU
826204,Boubacar Kamara,Aston Villa,AVL
983572,Destiny Udogie,Tottenham Hotspur,TOT
804508,Viktor Gyökeres,Arsenal,ARS
364612,João Palhinha,Tottenham Hotspur,TOT
1065216,Oscar Bobb,Manchester City,MCI
856714,Declan Rice,Arsenal,ARS
117777,Granit Xhaka,Sunderland,SUN
962012,Jan Paul van Hecke,Brighton & Hove Albion,BHA
193554,Will Hughes,Crystal Palace,CRY
934235,Bukayo Saka,Arsenal,ARS
823085,Kyle Walker-Peters,West Ham United,WHU
893549,Tijjani Reijnders,Manchester City,MCI
866469,Bruno Guimarães,Newcastle United,NEW
830659,Marcos Senesi,Bournemouth,BOU
836694,Mason Mount,Manchester United,MUN
913654,Pedro Porro,Tottenham Hotspur,TOT
159665,Mohamed Salah,Liverpool,LIV
895576,Marcus Tavernier,Bournemouth,BOU
904897,Ryan Gravenberch,Liverpool,LIV
1142562,Mateus Fernandes,West Ham United,WHU
847097,Ethan Ampadu,Leeds United,LEE
991478,Amine Adli,Bournemouth,BOU
1144630,Cristhian Mosquera,Arsenal,ARS
846308,Santiago Bueno,Wolverhampton,WOL
1097425,Miloš Kerkez,Liverpool,LIV
