player_id,player_name,team_name,team_code
50480,Chris Wood,Nottingham Forest,NFO
862967,Cody Gakpo,Liverpool,LIV
840217,Richarlison,Tottenham Hotspur,TOT
159665,Mohamed Salah,Liverpool,LIV
958959,Jurriën Timber,Arsenal,ARS
962012,Jan Paul van Hecke,Brighton & Hove Albion,BHA
958878,Daniel Ballard,Sunderland,SUN
987650,Moisés Caicedo,Chelsea,CHE
1048422,Hugo Ekitiké,Liverpool,LIV
905163,Mohammed Kudus,Tottenham Hotspur,TOT
101882,Fabian Schär,Newcastle United,NEW
975079,João Pedro,Chelsea,CHE
846308,Santiago Bueno,Wolverhampton,WOL
288205,Bruno Fernandes,Manchester United,MUN
792122,Josh Cullen,Burnley,BUR
1085180,Brennan Johnson,Tottenham Hotspur,TOT
957602,Riccardo Calafiori,Arsenal,ARS
845386,Federico Chiesa,Liverpool,LIV
839981,Lucas Paquetá,West Ham United,WHU
553606,Guglielmo Vicario,Tottenham Hotspur,TOT
1020680,Jaidon Anthony,Burnley,BUR
1106451,Dango Ouattara,Brentford,BRE
162653,Nick Pope,Newcastle United,NEW
151545,Virgil van Dijk,Liverpool,LIV
581310,David Raya,Arsenal,ARS
826134,Trevoh Chalobah,Chelsea,CHE
994546,Elliot Anderson,Nottingham Forest,NFO
941168,William Saliba,Arsenal,ARS
1403050,Josh Acheampong,Chelsea,CHE
907072,Mikkel Damsgaard,Brentford,BRE
971037,Amad Diallo,Manchester United,MUN
839956,Erling Haaland,Manchester City,MCI
364612,João Palhinha,Tottenham Hotspur,TOT
979128,Rayan Cherki,Manchester City,MCI
804508,Viktor Gyökeres,Arsenal,ARS
944327,Dan Ndoye,Nottingham Forest,NFO
158263,Emiliano Martínez,Aston Villa,AVL
352668,Tosin Adarabioyo,Chelsea,CHE
788134,Dean Henderson,Crystal Palace,CRY
879674,Maxence Lacroix,Crystal Palace,CRY
190877,Kenny Tete,Fulham,FUL
885908,Reece James,Chelsea,CHE
803031,Matthijs de Ligt,Manchester United,MUN
115365,Lewis Dunk,Brighton & Hove Albion,BHA
931844,Chris Richards,Crystal Palace,CRY
934354,Antoine Semenyo,Bournemouth,BOU
895576,Marcus Tavernier,Bournemouth,BOU
879349,Pedro Neto,Chelsea,CHE
856714,Declan Rice,Arsenal,ARS
954056,Nico González,Manchester City,MCI
891829,Matt O'Riley,Brighton & Hove Albion,BHA
122951,Casemiro,Manchester United,MUN
1036269,Yasin Ayari,Brighton & Hove Albion,BHA
547410,Martin Ødegaard,Arsenal,ARS
913654,Pedro Porro,Tottenham Hotspur,TOT
893549,Tijjani Reijnders,Manchester City,MCI
1065216,Oscar Bobb,Manchester City,MCI
855731,David Brooks,Bournemouth,BOU
869792,Gabriel Magalhães,Arsenal,ARS
1015256,Rodrigo Muniz,Fulham,FUL
861970,Kiernan Dewsbury-Hall,Everton,EVE
980634,Valentino Livramento,Newcastle United,NEW
800417,Ola Aina,Nottingham Forest,NFO
362682,Joachim Andersen,Fulham,FUL
193554,Will Hughes,Crystal Palace,CRY
833956,Matty Cash,Aston Villa,AVL
1137431,Michael Kayode,Brentford,BRE
979232,Anthony Elanga,Newcastle United,NEW
145188,James Tarkowski,Everton,EVE
1917626,Max Dowman,Arsenal,ARS
946695,Georginio Rutter,Brighton & Hove Albion,BHA
846036,Ben White,Arsenal,ARS
829932,Cristian Romero,Tottenham Hotspur,TOT
882604,Đorđe Petrović,Bournemouth,BOU
794939,Marc Cucurella,Chelsea,CHE
1199282,Murillo,Nottingham Forest,NFO
99090,Dan Burn,Newcastle United,NEW
988275,Tyrick Mitchell,Crystal Palace,CRY
303638,Tyrone Mings,Aston Villa,AVL
161717,James Ward-Prowse,West Ham United,WHU
826204,Boubacar Kamara,Aston Villa,AVL
931278,Rayan Aït-Nouri,Manchester City,MCI
867442,Callum Hudson-Odoi,Nottingham Forest,NFO
934235,Bukayo Saka,Arsenal,ARS
877980,Wilson Isidor,Sunderland,SUN
1597265,Estêvão Willian,Chelsea,CHE
966837,Martín Zubimendi,Arsenal,ARS
1194333,Abdukodir Khusanov,Manchester City,MCI
1153315,Leny Yoro,Manchester United,MUN
845286,Ismaïla Sarr,Crystal Palace,CRY
991478,Amine Adli,Bournemouth,BOU
69256,Kieran Trippier,Newcastle United,NEW
877994,Marc Guéhi,Crystal Palace,CRY
847097,Ethan Ampadu,Leeds United,LEE
846252,Ryan Yates,Nottingham Forest,NFO
838399,Joe Worrall,Burnley,BUR
998247,Micky van de Ven,Tottenham Hotspur,TOT
886363,Matheus Cunha,Manchester United,MUN
