sofascore_id,name,team_name,role,source
1464966,Rayan,,starter,14023969.json
913762,Christos Mandas,,sub,14023969.json
1476524,Alex Tóth,,sub,14023969.json
1116571,Nilson Angulo,,starter,14023970.json
2138729,Jocelin Ta Bi,,missing,14023970.json
361352,Adam Armstrong,,starter,14023979.json
867441,Angel Gomes,,missing,14024008.json
962364,Lorenzo Lucca,,starter,14024013.json
1445189,Tom Edozie,,sub,14025018.json
1432254,Timur Tutierov,,sub,14025027.json
1160554,Cuiabano,,missing,14025028.json
1409108,Ojinnaka Temple,,sub,14025046.json
1400646,Leon Chiwome,,missing,14025050.json
1085381,Nicolas Jackson,,missing,14025053.json
1398550,Dominic Sadi,,sub,14025095.json
1009762,Teddy Sharman-Lowe,,sub,14025107.json
610766,Tammy Abraham,,starter,14025125.json
2248920,Luka Bentt,,sub,14025125.json
1482340,Souza,,sub,14025149.json
2263877,Jerome Abbey,,sub,14025152.json
1099795,Melker Ellborg,,sub,14025197.json
1861676,Charlie Stevens,,sub,15129445.json
1533758,Jack Moorhouse,,sub,15238290.json
979144,Luca Netz,Nottingham Forest,ratings,sofascore_players_20260224_010027.csv
