team_code,team_name,next_match,position,row,depth_order,player_display,player_full_from_title,pl_photo_id,img_url
ars,Arsenal,Manchester United (A),GK,row-1,1,Raya Martin,David Raya Martin,154561,https://resources.premierleague.com/premierleague25/photos/players/110x140/154561.png
ars,Arsenal,Manchester United (A),DEF,row-2,1,White,Ben White,198869,https://resources.premierleague.com/premierleague25/photos/players/110x140/198869.png
ars,Arsenal,Manchester United (A),DEF,row-2,2,Gabriel,Gabriel,158074,https://resources.premierleague.com/premierleague25/photos/players/110x140/158074.png
ars,Arsenal,Manchester United (A),DEF,row-2,3,Saliba,William Saliba,462424,https://resources.premierleague.com/premierleague25/photos/players/110x140/462424.png
ars,Arsenal,Manchester United (A),DEF,row-2,4,Lewis-Skelly,Myles Lewis-Skelly,499169,https://resources.premierleague.com/premierleague25/photos/players/110x140/499169.png
ars,Arsenal,Manchester United (A),MID,row-3,1,Odegaard,Martin Odegaard,184029,https://resources.premierleague.com/premierleague25/photos/players/110x140/184029.png
ars,Arsenal,Manchester United (A),MID,row-3,2,Zubimendi,Martín Zubimendi,481655,https://resources.premierleague.com/premierleague25/photos/players/110x140/481655.png
ars,Arsenal,Manchester United (A),MID,row-3,3,Rice,Declan Rice,204480,https://resources.premierleague.com/premierleague25/photos/players/110x140/204480.png
ars,Arsenal,Manchester United (A),FWD,row-4,1,Saka,Bukayo Saka,223340,https://resources.premierleague.com/premierleague25/photos/players/110x140/223340.png
ars,Arsenal,Manchester United (A),FWD,row-4,2,Gyokeres,Viktor Gyokeres,224117,https://resources.premierleague.com/premierleague25/photos/players/110x140/224117.png
ars,Arsenal,Manchester United (A),FWD,row-4,3,Martinelli,Martinelli,444145,https://resources.premierleague.com/premierleague25/photos/players/110x140/444145.png
avl,Aston Villa,Newcastle United (H),GK,row-1,1,Bizot,Marco Bizot,72147,https://resources.premierleague.com/premierleague25/photos/players/110x140/72147.png
avl,Aston Villa,Newcastle United (H),DEF,row-2,1,Cash,Matthew Cash,199796,https://resources.premierleague.com/premierleague25/photos/players/110x140/199796.png
avl,Aston Villa,Newcastle United (H),DEF,row-2,2,Konsa Ngoyo,Ezri Konsa Ngoyo,199798,https://resources.premierleague.com/premierleague25/photos/players/110x140/199798.png
avl,Aston Villa,Newcastle United (H),DEF,row-2,3,Torres,Pau Torres,244954,https://resources.premierleague.com/premierleague25/photos/players/110x140/244954.png
avl,Aston Villa,Newcastle United (H),DEF,row-2,4,Maatsen,Ian Maatsen,441302,https://resources.premierleague.com/premierleague25/photos/players/110x140/441302.png
avl,Aston Villa,Newcastle United (H),MID,row-3,1,Rogers,Morgan Rogers,244850,https://resources.premierleague.com/premierleague25/photos/players/110x140/244850.png
avl,Aston Villa,Newcastle United (H),MID,row-3,2,Kamara,Boubacar Kamara,226944,https://resources.premierleague.com/premierleague25/photos/players/110x140/226944.png
avl,Aston Villa,Newcastle United (H),MID,row-3,3,Mvom Onana,Amadou Mvom Onana,449871,https://resources.premierleague.com/premierleague25/photos/players/110x140/449871.png
avl,Aston Villa,Newcastle United (H),MID,row-3,4,McGinn,John McGinn,122806,https://resources.premierleague.com/premierleague25/photos/players/110x140/122806.png
avl,Aston Villa,Newcastle United (H),FWD,row-4,1,Tielemans,Youri Tielemans,166989,https://resources.premierleague.com/premierleague25/photos/players/110x140/166989.png
avl,Aston Villa,Newcastle United (H),,row-5,1,Watkins,Ollie Watkins,178301,https://resources.premierleague.com/premierleague25/photos/players/110x140/178301.png
