fantrax_id,fantrax_name,team,team_code,position
04fk8,Victor Lindelof,AVL,AVL,D
062ft,Tyrell Malacia,MUN,MUN,D
05rbn,Thomas McGill,BHA,BHA,G
05vyh,Andy Moran,BHA,BHA,M
06xzj,David Mota Veiga Teixeira do Carmo,NOT,NFO,D
06v0w,Trey Ogunsuyi,SUN,SUN,F
06xzk,Timothee Pembélé,SUN,SUN,D
06ie2,Sam Proctor,AVL,AVL,G
06xzq,Nazariy Rusyn,SUN,SUN,F
06xzp,Luis Hemir Silva Semedo,SUN,SUN,F
0700r,Jimmy Sinclair,NOT,NFO,M
06rwp,Charlie Tasker,BHA,BHA,D
035n1,Bertrand Traore,SUN,SUN,M
06avm,James Wright,AVL,AVL,G
0700s,Adam Berry,NOT,NFO,M
06mfw,Vaclav Hladky,BUR,BUR,G
070hp,Randal Kolo Muani,TOT,TOT,F
06zqj,Ethan Laidlaw,BRF,BRE,F
06xzo,Jay Matete,SUN,SUN,M
070hj,Kevin Santos Lopes de Macedo,FUL,FUL,F
06s7r,Freddie Simmonds,BHA,BHA,D
06mmk,Marko Stamenic,NOT,NFO,M
06zqi,Joshua Stephenson,BRF,BRE,D
06xzl,Nectarios Triantis,SUN,SUN,D
0700q,Archie Whitehall,NOT,NFO,M
070hd,Tolu Arokodare,WOL,WOL,F
070hn,Dilane Bakwa,NOT,NFO,F
070hc,Brian Brobbey,SUN,SUN,F
06idv,Elijah Campbell,EVE,EVE,D
070hb,Jaydee Canvot,CRY,CRY,D
070hk,Samuel Chukwueze,FUL,FUL,F
070hs,Gianluigi Donnarumma,MCI,MCI,G
06on4,Julian Eyestone,BRF,BRE,G
070ho,Lutsharel Geertruida,SUN,SUN,D
070hq,Piero Hincapié,ARS,ARS,D
070gu,Alex Jiménez,BOU,BOU,D
06xzm,Zak Johnson,SUN,SUN,D
070ep,Jayden Jones,SUN,SUN,M
070eo,Jenson Jones,SUN,SUN,M
070f4,Ladislav Krejcí,WOL,WOL,D
070hr,Jonah Kusi-Asare,FUL,FUL,F
070hl,Senne Lammens,MUN,MUN,G
070em,Marley Leuluai,BUR,BUR,M
070gt,John Victor Maciel Furtado,NOT,NFO,G
070g9,Soungoutou Magassa,WHU,WHU,M
06v0r,Ben Middlemas,SUN,SUN,M
070h9,Veljko Milosavljevic,BOU,BOU,D
070ha,Florentino Ibrain Morris Luís,BUR,BUR,M
070en,Oliver Pimlott,BUR,BUR,F
070hi,Merlin Röhl,EVE,EVE,M
070g8,Nicolo Savona,NOT,NFO,D
070hm,Luis Eduardo Soares da Silva,NOT,NFO,D
06v0x,Tymur Tutierov,SUN,SUN,F
06uzs,Tom Tweedy,BUR,BUR,F
070hh,Christantus Uche,CRY,CRY,M
070eq,Jack Whittaker,SUN,SUN,M
