fantrax_id,fantrax_name,team,team_code,position
06pe1,Mateus Goncalo Espanha Fernandes,WHU,WHU,M
05uor,Yoane Wissa,NEW,NEW,F
06mvz,Savio,MCI,MCI,M
04spp,Douglas Luiz,NOT,NFO,M
04fk5,Ederson,MCI,MCI,G
06195,Tyler Dibling,EVE,EVE,M
05tr8,Christian Norgaard,ARS,ARS,M
06dps,Andre Onana,MUN,MUN,G
05oef,Alphonse Areola,WHU,WHU,G
066nn,Ben Doak,BOU,BOU,F
05gvx,Armando Broja,BUR,BUR,F
06xzg,Giorgi Mamardashvili,LIV,LIV,G
04amh,Aaron Ramsdale,NEW,NEW,G
06xzd,Charalampos Kostoulas,BHA,BHA,F
04ge9,Eddie Nketiah,CRY,CRY,F
04u40,Kepa,ARS,ARS,G
067yu,Facundo Buonanotte,CHE,CHE,M
05tr1,Ethan Pinnock,BRF,BRE,D
070fa,Xavi Simons,TOT,TOT,M
0435t,Ilkay Gundogan,MCI,MCI,M
05mzt,Illan Meslier,LEE,LEE,G
06xzc,Stefanos Tzimas,BHA,BHA,F
05ts6,Yerson Mosquera,WOL,WOL,D
04e1k,Solly March,BHA,BHA,M
05uns,Leon Bailey,AVL,AVL,M
06xza,Eli Kroupi,BOU,BOU,F
0701y,Giovanni Leoni,LIV,LIV,D
061xs,Julio Enciso,BHA,BHA,M
06yey,Borna Sosa,CRY,CRY,D
06v0m,Luke O'Nien,SUN,SUN,M
06roj,Chido Obi-Martin,MUN,MUN,F
06nv3,Filip Jørgensen,CHE,CHE,G
04rha,Jason Steele,BHA,BHA,G
06zef,Adam Aznou,EVE,EVE,D
06v51,Jaka Bijol,LEE,LEE,D
06v0d,Anthony Patterson,SUN,SUN,G
06r6s,Antonin Kinsky,TOT,TOT,G
06f81,Edson Alvarez,WHU,WHU,M
05oz4,Karl Hein,ARS,ARS,G
063c2,Gabriel Slonina,CHE,CHE,G
06hze,Treymaurice Nyoni,LIV,LIV,M
06y26,Olivier Boscagli,BHA,BHA,D
06kyw,Claudio Echeverri,MCI,MCI,M
06r9v,Andres García,AVL,AVL,D
05tre,Vitaly Janelt,BRF,BRE,M
06mgp,Luis Guilherme,WHU,WHU,M
062cw,Stefan Ortega,MCI,MCI,G
03ek4,Patrick Bamford,LEE,LEE,F
02lpf,Ross Barkley,AVL,AVL,M
06v0y,Luka Vuskovic,TOT,TOT,D
056ir,Adam Webster,BHA,BHA,D
05a6d,Tariq Lamptey,BHA,BHA,D
04mqv,Emerson,WHU,WHU,D
06635,Oliver Scarles,WHU,WHU,D
04vy4,Mark Travers,EVE,EVE,G
06ys4,Sverre Nypan,MCI,MCI,M
06ygm,Jair Paula da Cunha Filho,NOT,NFO,D
06mnn,Chadi Riad,CRY,CRY,D
06mrz,Pedro Lima,WOL,WOL,D
03xrs,Axel Tuanzebe,BUR,BUR,D
06uns,Tom Watson,BHA,BHA,F
05g4d,Dennis Cirkin,SUN,SUN,D
03dwz,Tom Heaton,MUN,MUN,G
06yb8,Diego León,MUN,MUN,D
0687b,Alex Moreno,AVL,AVL,D
06v6m,Max Weiß,BUR,BUR,G
06p4l,Julian Araujo,BOU,BOU,D
06v0j,Dan Neil,SUN,SUN,M
06uzn,Lucas Pires,BUR,BUR,D
06dmn,George Earthy,WHU,WHU,M
02xtd,Sam Johnstone,WOL,WOL,G
06zrt,Will Wright,LIV,LIV,F
06l2r,Harry Amass,MUN,MUN,D
05n0a,Wes Foderingham,WHU,WHU,G
06v03,Harry Gray,LEE,LEE,F
06do1,Zach Marsh,CRY,CRY,F
06v04,Armin Pécsi,LIV,LIV,G
06eka,Igor Julio,WHU,WHU,D
06nvc,Asher Agbinone,CRY,CRY,M
02lo6,Daniel Bentley,WOL,WOL,G
06uzv,Dario Essugo,CHE,CHE,M
045yy,Arthur Masuaku,SUN,SUN,D
06zxx,Divine Mukasa,MCI,MCI,M
06r7f,Julio Soler,BOU,BOU,D
06mx2,Carlos Miguel,NOT,NFO,G
06442,Zach Abbott,NOT,NFO,D
06xze,Walter Benítez,CRY,CRY,G
05xtq,Matthew Cox,BRF,BRE,G
06v0e,Blondy Nna Noukeu,SUN,SUN,G
06zc0,Seung-Soo Park,NEW,NEW,F
03m5i,Freddie Woodman,LIV,LIV,G
04gyd,Brandon Austin,TOT,TOT,G
056as,William Dennis,BOU,BOU,G
064op,Tyler Fredricson,MUN,MUN,D
044i7,Angus Gunn,NOT,NFO,G
06s7s,Harry Howell,BHA,BHA,F
06nvb,Caleb Kporha,CRY,CRY,D
06phr,Gustavo Nunes,BRF,BRE,F
05afj,Largie Ramazani,LEE,LEE,F
06pig,Morato,NOT,NFO,D
05x9k,Jeremy Sarmiento,BHA,BHA,M
06jfe,Hakon Valdimarsson,BRF,BRE,G
02ls8,Marcus Bettinelli,MCI,MCI,G
05r4r,Sam Greenwood,LEE,LEE,F
06mnb,Samuel Iling-Junior,AVL,AVL,F
06zbw,Benjamin Lecomte,FUL,FUL,G
05udw,Romaine Mundle,SUN,SUN,F
05n03,Kalvin Phillips,MCI,MCI,M
05wwd,Joshua Wilson-Esbrand,MCI,MCI,D
03dxr,Ashley Barnes,BUR,BUR,F
06y28,Sebastiaan Bornauw,LEE,LEE,D
06rpm,Mateus Mané,WOL,WOL,F
066iz,Lewis Orford,WHU,WHU,M
05ue3,Albert Sambi Lokonga,ARS,ARS,M
06ya6,Kota Takai,TOT,TOT,D
06kk4,Franco Umeh-Chibueze,CRY,CRY,F
05oji,Rhys Williams,LIV,LIV,D
070g7,Nick Woltemade,NEW,NEW,F
06cly,Enock Agyei,BUR,BUR,F
06v0v,Milan Aleksic,SUN,SUN,F
05ogg,Ajibola Alese,SUN,SUN,D
05w90,Maxwel Cornet,WHU,WHU,F
04u6i,Leander Dendoncker,AVL,AVL,M
05n09,Mark Gillespie,NEW,NEW,G
066sh,Bashir Humphreys,BUR,BUR,D
06zrq,Wellity Lucky,LIV,LIV,D
05ubh,Remi Matthews,CRY,CRY,G
033l8,Simon Moore,SUN,SUN,G
061z5,Calvin Ramsay,LIV,LIV,D
05tr5,Mads Roerslev,BRF,BRE,D
06r5m,Aaron Anselmino,CHE,CHE,D
05ogh,Harrison Ashby,NEW,NEW,D
06uzr,Jaydon Banel,BUR,BUR,F
06uzw,Alex Cairns,LEE,LEE,G
06v00,Sam Chambers,LEE,LEE,M
03pif,Karl Darlow,LEE,LEE,G
06zrr,Josh Davidson,LIV,LIV,D
05uog,Lewis Dobbin,AVL,AVL,F
06xzb,Romelle Donovan,BRF,BRE,M
06441,Martial Godo,FUL,FUL,F
062du,Darko Gyabi,LEE,LEE,M
05x12,Leo Fuhr Hjelde,SUN,SUN,D
05r2t,Niall Huggins,SUN,SUN,F
06cmt,Tom King,EVE,EVE,G
06ils,Yunus Konak,BRF,BRE,M
06zrs,Michael Laffey,LIV,LIV,M
04tsf,Paris Maghoma,BRF,BRE,M
06mgk,Jayden Meghoma,BRF,BRE,D
06r3w,Remy Rees-Dottin,BOU,BOU,F
062op,Omar Richards,NOT,NFO,D
062oi,Kaden Rodney,CRY,CRY,M
06mnd,Eric da Silva Moreira,NOT,NFO,F
06v0u,Ahmed Abdullahi,SUN,SUN,F
0643r,Owen Bevan,BOU,BOU,D
06v0k,Alan Browne,SUN,SUN,M
05tz8,Emmanuel Dennis,NOT,NFO,F
06zvn,George Hemmings,AVL,AVL,M
06prv,Jamaldeen Jimoh,AVL,AVL,M
06v0q,Harrison Jones,SUN,SUN,M
06hcm,Callum Marshall,WHU,WHU,F
06jgu,Callan McKenna,BOU,BOU,G
04ym3,Ian Poveda-Ocampo,SUN,SUN,F
06prt,Triston Rowe,AVL,AVL,D
02m3v,John Ruddy,NEW,NEW,G
06uzx,Isaac Schmidt,LEE,LEE,D
05rc7,Harry Tyrer,EVE,EVE,G
067y2,Daniel Adu-Addei,BOU,BOU,F
06r5r,Matai Akinmboni,BOU,BOU,D
05uh0,Joseph Anderson,SUN,SUN,D
06zxz,Scott Bailey,NEW,NEW,M
06zod,Dean Benamar,CRY,CRY,D
06zoe,Luke Browne,CRY,CRY,D
06zc3,Jun'ai Byfield,TOT,TOT,D
06zbt,Rio Cardines,CRY,CRY,M
06awp,Travis Patterson,AVL,AVL,D
06mex,Alex Paulsen,BOU,BOU,G
05nuf,Myles Peart-Harris,BRF,BRE,M
062cj,Abdallah Sima,BHA,BHA,F
06zeg,Max Thompson,NEW,NEW,G
06kwh,Benjamin Arthur,BRF,BRE,D
06xzn,Abdoullah Ba,SUN,SUN,M
05u40,Ellery Balcombe,BRF,BRE,G
06cm7,Josh Bowler,NOT,NFO,M
06uzk,Etienne Green,BUR,BUR,G
06zbq,Andre Harriman-Annous,ARS,ARS,F
0645w,Krisztian Hegyi,WHU,WHU,G
