fantrax_id,fantrax_name,team,team_code,position
06yxe,Estevao Willian Almeida de Oliveira Gonçalves,CHE,CHE,F
06pe1,Mateus Goncalo Espanha Fernandes,WHU,WHU,M
06mvz,Savio,MCI,MCI,M
06cm1,Nicolas Jackson,CHE,CHE,F
04fk5,Ederson,MCI,MCI,G
03jly,Andreas Pereira,FUL,FUL,M
0649j,Manuel Akanji,MCI,MCI,D
06exb,Rasmus Hojlund,MUN,MUN,F
04u40,Kepa,ARS,ARS,G
0435t,Ilkay Gundogan,MCI,MCI,M
06329,Manor Solomon,TOT,TOT,F
06cm0,Christopher Nkunku,CHE,CHE,F
05uns,Leon Bailey,AVL,AVL,M
06xza,Eli Kroupi,BOU,BOU,F
061xs,Julio Enciso,BHA,BHA,M
062h9,Luis Sinisterra,BOU,BOU,F
05n3v,Konstantinos Tsimikas,LIV,LIV,D
06f81,Edson Alvarez,WHU,WHU,M
05oz4,Karl Hein,ARS,ARS,G
068sd,Jakub Kiwior,ARS,ARS,D
06hze,Treymaurice Nyoni,LIV,LIV,M
06kyw,Claudio Echeverri,MCI,MCI,M
03ek4,Patrick Bamford,LEE,LEE,F
06v0y,Luka Vuskovic,TOT,TOT,D
05a6d,Tariq Lamptey,BHA,BHA,D
04mqv,Emerson,WHU,WHU,D
06exa,Matheus Franca,CRY,CRY,F
06ys4,Sverre Nypan,MCI,MCI,M
06ygm,Jair Paula da Cunha Filho,NOT,NFO,D
06mrz,Pedro Lima,WOL,WOL,D
0687b,Alex Moreno,AVL,AVL,D
061z3,Fabio Vieira,ARS,ARS,M
0649i,Antony,MUN,MUN,M
06zrt,Will Wright,LIV,LIV,F
06l2r,Harry Amass,MUN,MUN,D
06v03,Harry Gray,LEE,LEE,F
06dqv,Luca Koleosho,BUR,BUR,M
06do1,Zach Marsh,CRY,CRY,F
06nvc,Asher Agbinone,CRY,CRY,M
06zxx,Divine Mukasa,MCI,MCI,M
05vyc,Aaron Ramsey,BUR,BUR,M
06mx2,Carlos Miguel,NOT,NFO,G
06zc0,Seung-Soo Park,NEW,NEW,F
05afj,Largie Ramazani,LEE,LEE,F
05x9k,Jeremy Sarmiento,BHA,BHA,M
06jfe,Hakon Valdimarsson,BRF,BRE,G
05uh9,Bryan Gil,TOT,TOT,F
05r4r,Sam Greenwood,LEE,LEE,F
06mnb,Samuel Iling-Junior,AVL,AVL,F
06few,Youssef Chermiti,EVE,EVE,F
06rpm,Mateus Mané,WOL,WOL,F
066iz,Lewis Orford,WHU,WHU,M
05ue3,Albert Sambi Lokonga,ARS,ARS,M
06kk4,Franco Umeh-Chibueze,CRY,CRY,F
05ogg,Ajibola Alese,SUN,SUN,D
04f67,Philip Billing,BOU,BOU,M
05w90,Maxwel Cornet,WHU,WHU,F
04u6i,Leander Dendoncker,AVL,AVL,M
06zrq,Wellity Lucky,LIV,LIV,D
05tr5,Mads Roerslev,BRF,BRE,D
05o8k,Fabio Silva,WOL,WOL,F
06r5m,Aaron Anselmino,CHE,CHE,D
06zrr,Josh Davidson,LIV,LIV,D
05uog,Lewis Dobbin,AVL,AVL,F
062du,Darko Gyabi,LEE,LEE,M
