fantrax_id,fantrax_name,team,team_code,position
068lx,Dango Ouattara,BRF,BRF,M
05w7t,Pape Sarr,TOT,TOT,M
06fuw,Djordje Petrovic,BOU,BOU,G
06yb9,Reinildo Isnard Mandava,SUN,SUN,D
063q8,Mikkel Damsgaard,BRF,BRF,M
066r9,Ehor Yarmolyuk,BRF,BRF,M
045ob,Caoimhin Kelleher,BRF,BRF,G
05u1m,Nathan Collins,BRF,BRF,D
068yr,Hamed Traore,BOU,BOU,M
06y9o,Igor Jesus Maciel da Cruz,NOT,NFO,F
03r93,Joseph Gomez,LIV,LIV,D
05uel,Kristoffer Ajer,BRF,BRF,D
062og,Aaron Hickey,BRF,BRF,D
05uor,Yoane Wissa,BRF,BRF,F
06mvz,Savio,MCI,MCI,M
06p4j,Noussair Mazraoui,MUN,MUN,D
05uhs,James Mcatee,NOT,NFO,M
04fk5,Ederson,MCI,MCI,G
051k3,Jacob Ramsey,NEW,NEW,M
04qfm,Ryan Sessegnon,FUL,FUL,M
05tr8,Christian Norgaard,ARS,ARS,M
06dps,Andre Onana,MUN,MUN,G
05rl4,Crysencio Summerville,WHU,WHU,M
05ubv,Omari Hutchinson,NOT,NFO,F
067ys,Jack Hinshelwood,BHA,BHA,M
05oef,Alphonse Areola,WHU,WHU,G
0703h,Arnaud Kalimuendo,NOT,NFO,F
066nn,Ben Doak,BOU,BOU,F
049tq,Dominic Calvert-Lewin,LEE,LEE,F
05gvx,Armando Broja,BUR,BUR,F
06r2g,Rio Ngumoha,LIV,LIV,F
06mve,Joshua Zirkzee,MUN,MUN,F
06r9h,Romain Esse,CRY,CRY,M
0435t,Ilkay Gundogan,MCI,MCI,M
06xzd,Charalampos Kostoulas,BHA,BHA,F
0700p,Malick Thiaw,NEW,NEW,D
04amh,Aaron Ramsdale,NEW,NEW,G
06xzg,Giorgi Mamardashvili,LIV,LIV,G
04ge9,Eddie Nketiah,CRY,CRY,F
04spp,Douglas Luiz,NOT,NFO,M
05tr1,Ethan Pinnock,BRF,BRF,D
04u40,Kepa,ARS,ARS,G
05mzt,Illan Meslier,LEE,LEE,G
05ts6,Yerson Mosquera,WOL,WOL,D
05uns,Leon Bailey,AVL,AVL,M
067yu,Facundo Buonanotte,BHA,BHA,M
06xza,Eli Kroupi,BOU,BOU,F
04e1k,Solly March,BHA,BHA,M
06yey,Borna Sosa,CRY,CRY,D
0701y,Giovanni Leoni,LIV,LIV,D
06mnc,Daichi Kamada,CRY,CRY,M
061xs,Julio Enciso,BHA,BHA,M
06v0m,Luke O'Nien,SUN,SUN,M
06zef,Adam Aznou,EVE,EVE,D
06v51,Jaka Bijol,LEE,LEE,D
04rha,Jason Steele,BHA,BHA,G
06f81,Edson Alvarez,WHU,WHU,M
06roj,Chido Obi-Martin,MUN,MUN,F
06xzc,Stefanos Tzimas,BHA,BHA,F
0703c,Nordi Mukiele,SUN,SUN,D
06nv3,Filip Jørgensen,CHE,CHE,G
06uyd,Diego Coppola,BHA,BHA,D
