id,name,first_name,last_name,team,team_name,team_short_name,team_id,position,positions,default_pos_id,pos_ids,pos_ids_no_flex,status,injury_status,rank,short_name,url_name,headshot_url,upcoming_event_status,table_rank,owner_team,owner_tooltip,owner_team_id,next_opponent_raw,next_opponent,next_opponent_is_away,next_kickoff,next_event_id,season_points,fppg_value,percent_owned,percent_started,percent_started_delta
06r5m,Aaron Anselmino,,,CHE,Chelsea,CHE,110040,D,D,703,703,703,5,,521,A. Anselmino,aaron-anselmino,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,,521,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,MCI<br/>Sun 8:30AM,MCI,False,Sun 8:30AM,06c4h,0,0,0%,0%,
06ex2,Aaron Bott,,,NOT,Nottingham Forest,NOT,110105,G,G,704,704,704,5,,553,A. Bott,aaron-bott,https://fantraximg.com/assets/images/logos/sportsteam/epl/Nottingham_Forest.png,,553,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,AVL<br/>Sun 6:00AM,AVL,False,Sun 6:00AM,06c4k,0,0,0%,0%,
062og,Aaron Hickey,,,BRF,Brentford,BRF,110237,D,D,703,703,703,5,,374,A. Hickey,aaron-hickey,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brentford.png,,374,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,EVE<br/>Sat 7:00AM,EVE,False,Sat 7:00AM,06c4g,40.5,2.25,1%,0%,
04amh,Aaron Ramsdale,,,NEW,Newcastle United,NEW,110101,G,G,704,704,704,,,347,A. Ramsdale,aaron-ramsdale,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,2,347,NT 134,SO - IKanteFitMyWillian,iqt474scmdltspiq,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,57.25,5.72,36%,+20%,1.0
05vyc,Aaron Ramsey,,,BUR,Burnley,BUR,110223,M,M,702,702,702,5,,803,A. Ramsey,aaron-ramsey,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,,803,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,BHA<br/>Sat 7:00AM,BHA,False,Sat 7:00AM,06c7t,0,0,0%,0%,
04adp,Aaron Wan-Bissaka,,,WHU,West Ham United,WHU,110175,D,D,703,703,703,,,173,A. Wan-Bissaka,aaron-wan-bissaka,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,2,173,Matigol,SO - Matigol,ybvnsicfmdgnxart,WOL<br/>Fri 12:00PM,WOL,False,Fri 12:00PM,06c4m,154,7,70%,+1%,1.0
062cj,Abdallah Sima,,,BHA,Brighton,BHA,110240,F,F,701,701,701,5,,838,A. Sima,abdallah-sima,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,,838,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@BUR<br/>Sat 7:00AM,BUR,True,Sat 7:00AM,06c7t,0,0,0%,0%,
06xzn,Abdoullah Ba,,,SUN,Sunderland,SUN,110141,M,M,702,702,702,5,,532,A. Ba,abdoullah-ba,https://fantraximg.com/assets/images/logos/sportsteam/epl/Sunderland.png,,532,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,TOT<br/>Sun 6:00AM,TOT,False,Sun 6:00AM,06c4l,0,0,0%,0%,
06r9w,Abdukodir Khusanov,,,MCI,Manchester City,MCI,110080,D,D,703,703,703,5,,320,A. Khusanov,abdukodir-khusanov,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_City.png,,320,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@CHE<br/>Sun 8:30AM,CHE,True,Sun 8:30AM,06c4h,70,4.67,13%,-1%,-1.0
03ar4,Adam Armstrong,,,WOL,Wolverhampton,WOL,110191,F,F,701,701,701,5,,373,A. Armstrong,adam-armstrong,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,2,373,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@WHU<br/>Fri 12:00PM,WHU,True,Fri 12:00PM,06c4m,41,5.86,5%,-1%,-1.0
06zef,Adam Aznou,,,EVE,Everton,EVE,110050,D,D,703,703,703,5,,531,A. Aznou,adam-aznou,https://fantraximg.com/assets/images/logos/sportsteam/epl/Everton.png,,531,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@BRF<br/>Sat 7:00AM,BRF,True,Sat 7:00AM,06c4g,0,0,1%,0%,
0700s,Adam Berry,,,NOT,Nottingham Forest,NOT,110105,M,M,702,702,702,5,,544,A. Berry,adam-berry,https://fantraximg.com/assets/images/logos/sportsteam/epl/Nottingham_Forest.png,,544,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,AVL<br/>Sun 6:00AM,AVL,False,Sun 6:00AM,06c4k,0,0,0%,0%,
06ids,Adam Harrison,,,NEW,Newcastle United,NEW,110101,G,G,704,704,704,5,,655,A. Harrison,adam-harrison,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,,655,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,0,0,0%,0%,
02lp5,Adam Smith,,,BOU,Bournemouth,BOU,110034,D,D,703,703,703,5,,343,A. Smith,adam-smith,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,,343,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@ARS<br/>Sat 4:30AM,ARS,True,Sat 4:30AM,06c4f,57.75,3.21,3%,0%,
056ir,Adam Webster,,,BHA,Brighton,BHA,110240,D,D,703,703,703,5,,875,A. Webster,adam-webster,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,,875,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@BUR<br/>Sat 7:00AM,BUR,True,Sat 7:00AM,06c7t,0,0,0%,0%,
06jgs,Adam Wharton,,,CRY,Crystal Palace,CRY,110045,M,M,702,702,702,,,125,A. Wharton,adam-wharton,https://fantraximg.com/assets/images/logos/sportsteam/epl/Crystal_Palace.png,,125,Matigol,SO - Matigol,ybvnsicfmdgnxart,NEW<br/>Sun 6:00AM,NEW,False,Sun 6:00AM,06c4i,190.75,7.06,68%,-2%,-1.0
