id,name,first_name,last_name,team,team_name,team_short_name,team_id,position,positions,default_pos_id,pos_ids,pos_ids_no_flex,status,injury_status,rank,short_name,url_name,headshot_url,upcoming_event_status,table_rank,owner_team,owner_tooltip,owner_team_id,next_opponent_raw,next_opponent,next_opponent_is_away,next_kickoff,next_event_id,season_points,fppg_value,percent_owned,percent_started,percent_started_delta
03u2b,Adama Traore,,,WHU,West Ham United,WHU,110175,F,F,701,701,701,5,,423,A. Traore,adama-traore,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,,423,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,WOL<br/>Fri 12:00PM,WOL,False,Fri 12:00PM,06c4m,18.5,0.84,9%,0%,
06uyc,Adrien Truffert,,,BOU,Bournemouth,BOU,110034,D,D,703,703,703,,,32,A. Truffert,adrien-truffert,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,2,32,NT 134,SO - IKanteFitMyWillian,iqt474scmdltspiq,@ARS<br/>Sat 4:30AM,ARS,True,Sat 4:30AM,06c4f,278.75,8.99,96%,+1%,1.0
06v0u,Ahmed Abdullahi,,,SUN,Sunderland,SUN,110141,F,F,701,701,701,5,,502,A. Abdullahi,ahmed-abdullahi,https://fantraximg.com/assets/images/logos/sportsteam/epl/Sunderland.png,,502,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,TOT<br/>Sun 6:00AM,TOT,False,Sun 6:00AM,06c4l,0,0,0%,0%,
06pru,Aidan Borland,,,AVL,Aston Villa,AVL,110011,M,M,702,702,702,5,,552,A. Borland,aidan-borland,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,,552,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@NOT<br/>Sun 6:00AM,NOT,True,Sun 6:00AM,06c4k,0,0,0%,0%,
06h1g,Aidan Harris,,,NEW,Newcastle United,NEW,110101,G,G,704,704,704,5,,653,A. Harris,aidan-harris,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,,653,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,0,0,0%,0%,
06zcc,Airidas Golambeckis,,,WHU,West Ham United,WHU,110175,D,D,703,703,703,5,,635,A. Golambeckis,airidas-golambeckis,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,,635,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,WOL<br/>Fri 12:00PM,WOL,False,Fri 12:00PM,06c4m,0,0,0%,0%,
05ogg,Ajibola Alese,,,SUN,Sunderland,SUN,110141,D,D,703,703,703,5,,515,A. Alese,ajibola-alese,https://fantraximg.com/assets/images/logos/sportsteam/epl/Sunderland.png,,515,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,TOT<br/>Sun 6:00AM,TOT,False,Sun 6:00AM,06c4l,0,0,0%,0%,
06v0k,Alan Browne,,,SUN,Sunderland,SUN,110141,M,M,702,702,702,5,,558,A. Browne,alan-browne,https://fantraximg.com/assets/images/logos/sportsteam/epl/Sunderland.png,,558,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,TOT<br/>Sun 6:00AM,TOT,False,Sun 6:00AM,06c4l,0,0,0%,0%,
05ue3,Albert Sambi Lokonga,,,ARS,Arsenal,ARS,110000,M,M,702,702,702,5,,826,A. Sambi Lokonga,albert-sambi-lokonga,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,,826,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,BOU<br/>Sat 4:30AM,BOU,False,Sat 4:30AM,06c4f,0,0,0%,0%,
06zbu,Aled Thomas,,,EVE,Everton,EVE,110050,D,D,703,703,703,5,,858,A. Thomas,aled-thomas,https://fantraximg.com/assets/images/logos/sportsteam/epl/Everton.png,,858,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@BRF<br/>Sat 7:00AM,BRF,True,Sat 7:00AM,06c4g,0,0,0%,0%,
060wh,Alejandro Garnacho,,,CHE,Chelsea,CHE,110040,M,M,701,702,702,5,,206,Alejandro Garnacho,alejandro-garnacho-ferreyra,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,,206,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,MCI<br/>Sun 8:30AM,MCI,False,Sun 8:30AM,06c4h,131.25,6.56,60%,+3%,1.0
06uzw,Alex Cairns,,,LEE,Leeds United,LEE,110261,G,G,704,704,704,5,,564,A. Cairns,alex-cairns,https://fantraximg.com/assets/images/logos/sportsteam/epl/Leeds_United2.png,,564,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@MUN<br/>Mon 12:00PM,MUN,True,Mon 12:00PM,06c7u,0,0,0%,0%,
038ze,Alex Iwobi,,,FUL,Fulham,FUL,110063,M,M,701,702,702,,,106,A. Iwobi,alex-iwobi,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,2,106,Marosi,SO - Marosi's Mighty Magyars,rrn428q7mdlgnsen,@LIV<br/>Sat 9:30AM,LIV,True,Sat 9:30AM,06c4j,203.25,8.13,97%,+1%,1.0
070gu,Alex Jiménez,,,BOU,Bournemouth,BOU,110034,D,D,703,703,703,,,153,A. Jiménez,alex-jimenez,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,2,153,NT 134,SO - IKanteFitMyWillian,iqt474scmdltspiq,@ARS<br/>Sat 4:30AM,ARS,True,Sat 4:30AM,06c4f,162.25,6.01,38%,0%,
0687b,Alex Moreno,,,AVL,Aston Villa,AVL,110011,D,D,703,703,703,5,,747,Alex Moreno,alexandre-moreno-lopera,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,,747,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@NOT<br/>Sun 6:00AM,NOT,True,Sun 6:00AM,06c4k,0,0,0%,0%,
06ewy,Alex Murphy,,,NEW,Newcastle United,NEW,110101,D,D,703,703,703,5,,499,A. Murphy,alex-murphy,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,,499,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,0.25,0.25,0%,0%,
06mex,Alex Paulsen,,,BOU,Bournemouth,BOU,110034,G,G,704,704,704,5,,784,A. Paulsen,alex-paulsen,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,,784,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@ARS<br/>Sat 4:30AM,ARS,True,Sat 4:30AM,06c4f,0,0,0%,0%,
06f8y,Alex Scott,,,BOU,Bournemouth,BOU,110034,M,M,702,702,702,,,86,A. Scott,alex-scott,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,2,86,aleemakh,SO - aleemakhtar,7qxrjayvmdjhed7j,@ARS<br/>Sat 4:30AM,ARS,True,Sat 4:30AM,06c4f,222,7.16,65%,+4%,1.0
072pc,Alex Tóth,,,BOU,Bournemouth,BOU,110034,M,M,702,702,702,5,,461,A. Tóth,alex-toth,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,,461,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@ARS<br/>Sat 4:30AM,ARS,True,Sat 4:30AM,06c4f,5.25,1.31,1%,0%,
0646f,Alexander Isak,,,LIV,Liverpool,LIV,110070,F,F,701,701,701,,,366,A. Isak,alexander-isak,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,,366,Marosi,SO - Marosi's Mighty Magyars,rrn428q7mdlgnsen,FUL<br/>Sat 9:30AM,FUL,False,Sat 9:30AM,06c4j,44,4.4,71%,+2%,1.0
06nk2,Alexei Rojas Fedorushchenko,,,ARS,Arsenal,ARS,110000,G,G,704,704,704,5,,813,A. Rojas Fedorushchenko,alexei-rojas-fedorushchenko,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,,813,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,BOU<br/>Sat 4:30AM,BOU,False,Sat 4:30AM,06c4f,0,0,0%,0%,
0522h,Alexis Mac Allister,,,LIV,Liverpool,LIV,110070,M,M,702,702,702,,,147,A. Mac Allister,alexis-mac-allister,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,2,147,aleemakh,SO - aleemakhtar,7qxrjayvmdjhed7j,FUL<br/>Sat 9:30AM,FUL,False,Sat 9:30AM,06c4j,164.75,5.49,94%,+2%,1.0
05nio,Alfie Devine,,,TOT,Tottenham Hotspur,TOT,110160,M,M,702,702,702,5,,601,A. Devine,alfie-devine,https://fantraximg.com/assets/images/logos/sportsteam/epl/Tottenham_Hotspur.png,,601,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@SUN<br/>Sun 6:00AM,SUN,True,Sun 6:00AM,06c4l,0,0,0%,0%,
066si,Alfie Gilchrist,,,CHE,Chelsea,CHE,110040,D,D,703,703,703,5,,632,A. Gilchrist,alfie-gilchrist,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,,632,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,MCI<br/>Sun 8:30AM,MCI,False,Sun 8:30AM,06c4h,0,0,0%,0%,
06nv5,Alfie Harrison,,,NEW,Newcastle United,NEW,110101,M,M,702,702,702,5,,656,A. Harrison,alfie-harrison,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,,656,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,0,0,0%,0%,
072jc,Alfie McNally,,,FUL,Fulham,FUL,110063,G,G,704,704,704,5,,733,A. McNally,alfie-mcnally,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,,733,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@LIV<br/>Sat 9:30AM,LIV,True,Sat 9:30AM,06c4j,0,0,0%,0%,
06fwj,Alfie Pond,,,WOL,Wolverhampton,WOL,110191,D,D,703,703,703,5,,792,A. Pond,alfie-pond,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,,792,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@WHU<br/>Fri 12:00PM,WHU,True,Fri 12:00PM,06c4m,0,0,0%,0%,
04sjt,Alisson,,,LIV,Liverpool,LIV,110070,G,G,704,704,704,5,,142,Alisson,alisson-ramses-becker,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,,142,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,FUL<br/>Sat 9:30AM,FUL,False,Sat 9:30AM,06c4j,168.25,6.73,82%,-7%,-1.0
05oef,Alphonse Areola,,,WHU,West Ham United,WHU,110175,G,G,704,704,704,5,,161,A. Areola,alphonse-areola,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,,161,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,WOL<br/>Fri 12:00PM,WOL,False,Fri 12:00PM,06c4m,160.25,8.01,10%,0%,
06fx0,Altay Bayindir,,,MUN,Manchester United,MUN,110090,G,G,704,704,704,5,,408,A. Bayindir,altay-bayindir,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,,408,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,LEE<br/>Mon 12:00PM,LEE,False,Mon 12:00PM,06c7u,26.75,4.46,2%,0%,
072j3,Alysson Edward Franco da Rocha dos Santos,,,AVL,Aston Villa,AVL,110011,F,F,701,701,701,5,,469,A. da Rocha dos Santos,alysson-edward-franco-da-rocha-dos-santos,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,,469,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@NOT<br/>Sun 6:00AM,NOT,True,Sun 6:00AM,06c4k,3,1,1%,0%,
05r34,Amad Diallo,,,MUN,Manchester United,MUN,110090,M,M,701,702,702,,,75,A. Diallo,amad-diallo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,2,75,NT 134,SO - IKanteFitMyWillian,iqt474scmdltspiq,LEE<br/>Mon 12:00PM,LEE,False,Mon 12:00PM,06c7u,235.25,9.41,99%,0%,
063hu,Amadou Onana,,,AVL,Aston Villa,AVL,110011,M,M,702,702,702,5,,192,A. Onana,amadou-onana,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,2,192,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@NOT<br/>Sun 6:00AM,NOT,True,Sun 6:00AM,06c4k,142,6.45,20%,+2%,1.0
06kud,Amara Nallo,,,LIV,Liverpool,LIV,110070,D,D,703,703,703,5,,757,A. Nallo,amara-nallo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,,757,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,FUL<br/>Sat 9:30AM,FUL,False,Sat 9:30AM,06c4j,0,0,0%,0%,
070ci,Amine Adli,,,BOU,Bournemouth,BOU,110034,F,F,701,701,701,5,,207,A. Adli,amine-adli,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,2,207,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@ARS<br/>Sat 4:30AM,ARS,True,Sat 4:30AM,06c4f,130.75,4.84,30%,-5%,-1.0
06pic,Andre,,,WOL,Wolverhampton,WOL,110191,M,M,702,702,702,5,,251,Andre,andre-trindade-da-costa-neto,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,2,251,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@WHU<br/>Fri 12:00PM,WHU,True,Fri 12:00PM,06c4m,104.5,3.73,5%,0%,
06zbq,Andre Harriman-Annous,,,ARS,Arsenal,ARS,110000,F,F,701,701,701,5,,652,A. Harriman-Annous,andre-harriman-annous,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,,652,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,BOU<br/>Sat 4:30AM,BOU,False,Sat 4:30AM,06c4f,0,0,0%,0%,
06dps,Andre Onana,,,MUN,Manchester United,MUN,110090,G,G,704,704,704,5,,774,A. Onana,andre-onana,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,,774,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,LEE<br/>Mon 12:00PM,LEE,False,Mon 12:00PM,06c7u,0,0,3%,0%,
03jly,Andreas Pereira,,,FUL,Fulham,FUL,110063,M,M,702,702,702,5,,671,Andreas Pereira,andreas-hugo-hoelgebaum-pereira,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,,671,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@LIV<br/>Sat 9:30AM,LIV,True,Sat 9:30AM,06c4j,0,0,7%,0%,
06r9v,Andres García,,,AVL,Aston Villa,AVL,110011,D,D,703,703,703,5,,907,A. García,andres-garcia,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,,907,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@NOT<br/>Sun 6:00AM,NOT,True,Sun 6:00AM,06c4k,-1.5,-0.38,0%,0%,
03gu5,Andrew Robertson,,,LIV,Liverpool,LIV,110070,D,D,703,703,703,5,,272,A. Robertson,andrew-robertson,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,,272,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,FUL<br/>Sat 9:30AM,FUL,False,Sat 9:30AM,06c4j,90.75,4.78,27%,0%,
068a0,Andrey Santos,,,CHE,Chelsea,CHE,110040,M,M,702,702,702,5,,351,Andrey Santos,andrey-nascimento-dos-santos,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,2,351,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,MCI<br/>Sun 8:30AM,MCI,False,Sun 8:30AM,06c4h,56.25,2.45,3%,-1%,-1.0
06kyx,Andy Irving,,,WHU,West Ham United,WHU,110175,M,M,702,702,702,5,,440,A. Irving,andy-irving,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,,440,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,WOL<br/>Fri 12:00PM,WOL,False,Fri 12:00PM,06c4m,11,1.57,0%,0%,
05vyh,Andy Moran,,,BHA,Brighton,BHA,110240,M,M,702,702,702,5,,746,Andy Moran,andrew-moran,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,,746,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@BUR<br/>Sat 7:00AM,BUR,True,Sat 7:00AM,06c7t,0,0,0%,0%,
04d9r,Angel Gomes,,,WOL,Wolverhampton,WOL,110191,M,M,702,702,702,5,,428,A. Gomes,angel-gomes,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,,428,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@WHU<br/>Fri 12:00PM,WHU,True,Fri 12:00PM,06c4m,16.5,2.36,6%,-3%,-1.0
044i7,Angus Gunn,,,NOT,Nottingham Forest,NOT,110105,G,G,704,704,704,5,,482,A. Gunn,angus-gunn,https://fantraximg.com/assets/images/logos/sportsteam/epl/Nottingham_Forest.png,,482,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,AVL<br/>Sun 6:00AM,AVL,False,Sun 6:00AM,06c4k,1.25,1.25,0%,0%,
05ogb,Anthony Elanga,,,NEW,Newcastle United,NEW,110101,F,F,701,701,701,5,,301,A. Elanga,anthony-elanga,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,2,301,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,79.75,2.95,53%,+8%,1.0
04mdn,Anthony Gordon,,,NEW,Newcastle United,NEW,110101,M,M,701,702,702,,,84,A. Gordon,anthony-gordon,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,2,84,ozanbjk,SO - Ozan,7yp2wjl3mdacx26p,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,224.75,8.99,99%,+1%,1.0
06on6,Anthony Munda,,,NEW,Newcastle United,NEW,110101,M,M,702,702,702,5,,752,A. Munda,anthony-munda,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,,752,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,@CRY<br/>Sun 6:00AM,CRY,True,Sun 6:00AM,06c4i,0,0,0%,0%,
06v0d,Anthony Patterson,,,SUN,Sunderland,SUN,110141,G,G,704,704,704,5,,782,A. Patterson,anthony-patterson,https://fantraximg.com/assets/images/logos/sportsteam/epl/Sunderland.png,,782,W <small>(Thu)</small>,"Waiver Wire - Off Thu Apr 9, 7:00 AM PDT",,TOT<br/>Sun 6:00AM,TOT,False,Sun 6:00AM,06c4l,0,0,1%,0%,
068y0,Antoine Semenyo,,,MCI,Manchester City,MCI,110080,F,F,701,701,701,,,3,A. Semenyo,antoine-semenyo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_City.png,2,3,Egballer,SO - Egballer,r1cr6du0mdabwxkp,@CHE<br/>Sun 8:30AM,CHE,True,Sun 8:30AM,06c4h,388,13.38,100%,0%,
06zbx,Anton Stach,,,LEE,Leeds United,LEE,110261,M,M,702,702,702,,,12,A. Stach,anton-stach,https://fantraximg.com/assets/images/logos/sportsteam/epl/Leeds_United2.png,2,12,aleemakh,SO - aleemakhtar,7qxrjayvmdjhed7j,@MUN<br/>Mon 12:00PM,MUN,True,Mon 12:00PM,06c7u,326.5,12.56,83%,0%,
